source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,254.267967222,240.472937392,308.300000000,0.000000000,0.000000000
point-0000002,29.640069198,281.536374611,199.280640138,308.300000000,0.000000000,0.000000000
point-0000003,31.680074683,284.371473015,201.157413754,308.300000000,0.000000000,0.000000000
point-0000004,61.031392069,257.368713236,241.948418326,308.300000000,0.000000000,0.000000000
point-0000005,61.320143538,257.103065862,242.349710479,308.300000000,0.000000000,0.000000000
point-0000006,63.360148966,254.267967222,240.472937392,308.300000000,0.000000000,0.000000000
point-0000007,63.650796060,254.728063887,240.321392434,308.300000000,0.000000000,0.000000000
point-0000008,65.665553065,258.085992228,240.321392434,308.300000000,0.000000000,0.000000000
point-0000009,66.133262956,258.516278122,239.671392434,308.300000000,0.000000000,0.000000000
point-0000010,68.148019958,255.158349784,239.671392434,308.300000000,0.000000000,0.000000000
point-0000011,68.615729851,255.588635681,239.021392434,308.300000000,0.000000000,0.000000000
point-0000012,70.630486851,258.946564015,239.021392434,308.300000000,0.000000000,0.000000000
point-0000013,71.098196742,259.376849909,238.371392434,308.300000000,0.000000000,0.000000000
point-0000014,73.112953741,256.018921578,238.371392434,308.300000000,0.000000000,0.000000000
point-0000015,73.580663633,256.449207475,237.721392434,308.300000000,0.000000000,0.000000000
point-0000016,75.595420629,259.807135803,237.721392434,308.300000000,0.000000000,0.000000000
point-0000017,76.063130520,260.237421696,237.071392434,308.300000000,0.000000000,0.000000000
point-0000018,78.077887515,256.879493372,237.071392434,308.300000000,0.000000000,0.000000000
point-0000019,78.545597407,257.309779269,236.421392434,308.300000000,0.000000000,0.000000000
point-0000020,80.560354399,260.667707590,236.421392434,308.300000000,0.000000000,0.000000000
point-0000021,81.028064290,261.097993484,235.771392434,308.300000000,0.000000000,0.000000000
point-0000022,83.042821281,257.740065166,235.771392434,308.300000000,0.000000000,0.000000000
point-0000023,83.510531173,258.170351063,235.121392434,308.300000000,0.000000000,0.000000000
point-0000024,85.525288161,261.528279377,235.121392434,308.300000000,0.000000000,0.000000000
point-0000025,85.992998052,261.958565271,234.471392434,308.300000000,0.000000000,0.000000000
point-0000026,88.007755038,258.600636960,234.471392434,308.300000000,0.000000000,0.000000000
point-0000027,88.475464930,259.030922857,233.821392434,308.300000000,0.000000000,0.000000000
point-0000028,90.490221915,262.388851165,233.821392434,308.300000000,0.000000000,0.000000000
point-0000029,90.957931806,262.819137058,233.171392434,308.300000000,0.000000000,0.000000000
point-0000030,92.972688788,259.461208755,233.171392434,308.300000000,0.000000000,0.000000000
point-0000031,93.440398680,259.891494652,232.521392434,308.300000000,0.000000000,0.000000000
point-0000032,95.455155660,263.249422952,232.521392434,308.300000000,0.000000000,0.000000000
point-0000033,95.922865551,263.679708846,231.871392434,308.300000000,0.000000000,0.000000000
point-0000034,97.937622530,260.321780549,231.871392434,308.300000000,0.000000000,0.000000000
point-0000035,98.405332422,260.752066446,231.221392434,308.300000000,0.000000000,0.000000000
point-0000036,100.420089398,264.109994739,231.221392434,308.300000000,0.000000000,0.000000000
point-0000037,100.887799289,264.540280633,230.571392434,308.300000000,0.000000000,0.000000000
point-0000038,102.902556263,261.182352343,230.571392434,308.300000000,0.000000000,0.000000000
point-0000039,103.370266155,261.612638240,229.921392434,308.300000000,0.000000000,0.000000000
point-0000040,105.385023127,264.970566527,229.921392434,308.300000000,0.000000000,0.000000000
point-0000041,105.852733018,265.400852420,229.271392434,308.300000000,0.000000000,0.000000000
point-0000042,107.867489988,262.042924137,229.271392434,308.300000000,0.000000000,0.000000000
point-0000043,108.335199880,262.473210034,228.621392434,308.300000000,0.000000000,0.000000000
point-0000044,110.349956848,265.831138314,228.621392434,308.300000000,0.000000000,0.000000000
point-0000045,110.817666739,266.261424208,227.971392434,308.300000000,0.000000000,0.000000000
point-0000046,112.832423705,262.903495931,227.971392434,308.300000000,0.000000000,0.000000000
point-0000047,113.300133597,263.333781828,227.321392434,308.300000000,0.000000000,0.000000000
point-0000048,115.314890561,266.691710101,227.321392434,308.300000000,0.000000000,0.000000000
point-0000049,115.782600452,267.121995995,226.671392434,308.300000000,0.000000000,0.000000000
point-0000050,117.797357414,263.764067725,226.671392434,308.300000000,0.000000000,0.000000000
point-0000051,118.265067306,264.194353622,226.021392434,308.300000000,0.000000000,0.000000000
point-0000052,120.279824266,267.552281889,226.021392434,308.300000000,0.000000000,0.000000000
point-0000053,120.747534157,267.982567782,225.371392434,308.300000000,0.000000000,0.000000000
point-0000054,122.762291115,264.624639519,225.371392434,308.300000000,0.000000000,0.000000000
point-0000055,123.230001007,265.054925416,224.721392434,308.300000000,0.000000000,0.000000000
point-0000056,125.244757963,268.412853676,224.721392434,308.300000000,0.000000000,0.000000000
point-0000057,125.712467854,268.843139570,224.071392434,308.300000000,0.000000000,0.000000000
