source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,254.784314660,240.721539092,312.000000000,0.000000000,0.000000000
point-0000002,0.990149812,255.770679023,239.398541934,312.009375000,0.000000000,0.000000000
point-0000003,1.980298677,256.757407129,238.075818012,312.018750000,0.000000000,0.000000000
point-0000004,2.970446670,257.744498314,236.753366833,312.028125000,0.000000000,0.000000000
point-0000005,3.960593864,258.731952580,235.431188399,312.037500000,0.000000000,0.000000000
point-0000006,4.950740336,259.719769926,234.109282707,312.046875000,0.000000000,0.000000000
point-0000007,5.940886160,260.707950351,232.787649760,312.056250000,0.000000000,0.000000000
point-0000008,6.931031412,261.696493857,231.466289556,312.065625000,0.000000000,0.000000000
point-0000009,7.921176166,262.685400443,230.145202096,312.075000000,0.000000000,0.000000000
point-0000010,8.911320496,263.674670108,228.824387379,312.084375000,0.000000000,0.000000000
point-0000011,9.901464480,264.664302854,227.503845406,312.093750000,0.000000000,0.000000000
point-0000012,10.891608190,265.654298680,226.183576176,312.103125000,0.000000000,0.000000000
point-0000013,11.881751702,266.644657585,224.863579690,312.112500000,0.000000000,0.000000000
point-0000014,12.871895092,267.635379571,223.543855948,312.121875000,0.000000000,0.000000000
point-0000015,13.862038433,268.626464636,222.224404949,312.131250000,0.000000000,0.000000000
point-0000016,14.852181802,269.617912782,220.905226694,312.140625000,0.000000000,0.000000000
point-0000017,15.842325273,270.609724007,219.586321183,312.150000000,0.000000000,0.000000000
point-0000018,16.832468920,271.601898313,218.267688415,312.159375000,0.000000000,0.000000000
point-0000019,17.822612820,272.594435698,216.949328391,312.168750000,0.000000000,0.000000000
point-0000020,18.812757047,273.587336164,215.631241110,312.178125000,0.000000000,0.000000000
point-0000021,19.802901675,274.580599709,214.313426573,312.187500000,0.000000000,0.000000000
point-0000022,20.793046781,275.574226335,212.995884780,312.196875000,0.000000000,0.000000000
point-0000023,21.783192438,276.568216040,211.678615730,312.206250000,0.000000000,0.000000000
point-0000024,22.773338722,277.562568826,210.361619424,312.215625000,0.000000000,0.000000000
point-0000025,23.763485708,278.557284691,209.044895861,312.225000000,0.000000000,0.000000000
point-0000026,24.753633471,279.552363636,207.728445042,312.234375000,0.000000000,0.000000000
point-0000027,25.743782086,280.547805662,206.412266967,312.243750000,0.000000000,0.000000000
point-0000028,26.733931628,281.543610767,205.096361635,312.253125000,0.000000000,0.000000000
point-0000029,27.724082171,282.539778953,203.780729047,312.262500000,0.000000000,0.000000000
point-0000030,28.714233791,283.536310218,202.465369203,312.271875000,0.000000000,0.000000000
point-0000031,29.646631732,284.553165006,201.290284618,312.281250000,0.000000000,0.000000000
