source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,234.200241283,250.002953101,272.000000000,0.000000000,0.000000000
point-0000002,0.930517387,234.276237265,248.453953902,272.000000000,0.000000000,0.000000000
point-0000003,1.861102332,234.503737755,246.919754863,272.000000000,0.000000000,0.000000000
point-0000004,2.791573649,234.880497976,245.415431928,272.000000000,0.000000000,0.000000000
point-0000005,3.721932796,235.402837871,243.955460359,272.000000000,0.000000000,0.000000000
point-0000006,4.652511037,236.065937677,242.553395040,272.000000000,0.000000000,0.000000000
point-0000007,5.583060768,236.863277328,241.223135443,272.000000000,0.000000000,0.000000000
point-0000008,6.513521109,237.787099568,239.977570716,272.000000000,0.000000000,0.000000000
point-0000009,7.443940364,238.828528085,238.828617591,272.000000000,0.000000000,0.000000000
point-0000010,8.374400986,239.977623668,237.787243592,272.000000000,0.000000000,0.000000000
point-0000011,9.304950778,241.223397054,236.863452433,272.000000000,0.000000000,0.000000000
point-0000012,10.235527784,242.553779900,236.066230002,272.000000000,0.000000000,0.000000000
point-0000013,11.165875703,243.955564402,235.403434310,272.000000000,0.000000000,0.000000000
point-0000014,12.096081512,245.415340369,234.881306367,272.000000000,0.000000000,0.000000000
point-0000015,13.026282192,246.919252872,234.504764016,272.000000000,0.000000000,0.000000000
point-0000016,13.956483975,248.452830971,234.277429743,272.000000000,0.000000000,0.000000000
point-0000017,14.886688083,250.001310331,234.201493286,272.000000000,0.000000000,0.000000000
point-0000018,15.816962839,251.549894392,234.277698209,272.000000000,0.000000000,0.000000000
point-0000019,16.747296834,253.083649440,234.505341360,272.000000000,0.000000000,0.000000000
point-0000020,17.677592531,254.587643115,234.882211407,272.000000000,0.000000000,0.000000000
point-0000021,18.607866567,256.047421214,235.404670939,272.000000000,0.000000000,0.000000000
point-0000022,19.538168136,257.449001952,236.067716788,272.000000000,0.000000000,0.000000000
point-0000023,20.468503677,258.778890638,236.864980874,272.000000000,0.000000000,0.000000000
point-0000024,21.398761163,260.024126128,237.788679473,272.000000000,0.000000000,0.000000000
point-0000025,22.328991187,261.172800428,238.829945990,272.000000000,0.000000000,0.000000000
point-0000026,23.259216504,262.213887033,239.978772766,272.000000000,0.000000000,0.000000000
point-0000027,24.189432053,263.137359800,241.224088728,272.000000000,0.000000000,0.000000000
point-0000028,25.119662617,263.934351889,242.553936465,272.000000000,0.000000000,0.000000000
point-0000029,26.049882413,264.597168288,243.955474965,272.000000000,0.000000000,0.000000000
point-0000030,26.980243590,265.119507618,245.415450331,272.000000000,0.000000000,0.000000000
point-0000031,27.910688170,265.496257350,246.919729955,272.000000000,0.000000000,0.000000000
point-0000032,28.841078905,265.723728589,248.453606109,272.000000000,0.000000000,0.000000000
point-0000033,29.771420761,265.799758826,250.002310724,272.000000000,0.000000000,0.000000000
point-0000034,30.701776656,265.723631694,251.551034005,272.000000000,0.000000000,0.000000000
point-0000035,31.632195096,265.496059722,253.084941898,272.000000000,0.000000000,0.000000000
point-0000036,32.562635030,265.119226014,254.589192504,272.000000000,0.000000000,0.000000000
point-0000037,33.492924888,264.596860507,256.049032258,272.000000000,0.000000000,0.000000000
point-0000038,34.423338919,263.933846596,257.450835451,272.000000000,0.000000000,0.000000000
point-0000039,35.353784475,263.136600241,258.780948545,272.000000000,0.000000000,0.000000000
point-0000040,36.284166298,262.212886326,260.026430684,272.000000000,0.000000000,0.000000000
point-0000041,37.214509888,261.171593047,261.175336186,272.000000000,0.000000000,0.000000000
point-0000042,38.144881859,260.022672450,262.216683243,272.000000000,0.000000000,0.000000000
point-0000043,39.075318649,258.777125631,263.140463738,272.000000000,0.000000000,0.000000000
point-0000044,40.005749396,257.447031521,263.937693755,272.000000000,0.000000000,0.000000000
point-0000045,40.935978762,256.045501572,264.600565542,272.000000000,0.000000000,0.000000000
point-0000046,41.866161733,254.585823222,265.122853354,272.000000000,0.000000000,0.000000000
point-0000047,42.796349743,253.081973446,265.499559253,272.000000000,0.000000000,0.000000000
point-0000048,43.726535947,251.548444219,265.727046079,272.000000000,0.000000000,0.000000000
point-0000049,44.656723034,249.999999998,265.803119816,272.000000000,0.000000000,0.000000000
point-0000050,45.586909792,248.451556327,265.727046132,272.000000000,0.000000000,0.000000000
point-0000051,46.517095568,246.918027790,265.499559499,272.000000000,0.000000000,0.000000000
point-0000052,47.447283499,245.414178111,265.122853759,272.000000000,0.000000000,0.000000000
point-0000053,48.377466091,243.954500294,264.600566329,272.000000000,0.000000000,0.000000000
point-0000054,49.307653293,242.553032297,263.937727919,272.000000000,0.000000000,0.000000000
point-0000055,50.237908857,241.223177570,263.140666441,272.000000000,0.000000000,0.000000000
point-0000056,51.168162727,239.977845382,262.217108329,272.000000000,0.000000000,0.000000000
point-0000057,52.098396189,238.829044103,261.175973375,272.000000000,0.000000000,0.000000000
point-0000058,53.028642296,237.787788487,260.027253017,272.000000000,0.000000000,0.000000000
point-0000059,53.958907191,236.864099169,258.781995268,272.000000000,0.000000000,0.000000000
point-0000060,54.889172514,236.066888688,257.452210893,272.000000000,0.000000000,0.000000000
point-0000061,55.819710028,235.403657639,256.050282745,272.000000000,0.000000000,0.000000000
point-0000062,56.750285902,234.881028491,254.590031040,272.000000000,0.000000000,0.000000000
point-0000063,57.680777555,234.504094458,253.085716707,272.000000000,0.000000000,0.000000000
point-0000064,58.611203063,234.276444635,251.551808457,272.000000000,0.000000000,0.000000000
point-0000065,59.541640353,234.200241283,250.002953101,272.000000000,0.000000000,0.000000000
point-0000066,59.901496575,234.800000203,250.004271727,272.000000000,0.000000000,0.000000000
point-0000067,59.902478334,234.800007156,250.005907979,272.000000000,0.000000000,0.000000000
point-0000068,59.903460094,234.800027496,250.007544119,272.000000000,0.000000000,0.000000000
point-0000069,59.904441854,234.800061220,250.009180037,272.000000000,0.000000000,0.000000000
point-0000070,59.905423613,234.800108327,250.010815625,272.000000000,0.000000000,0.000000000
point-0000071,59.906405373,234.800168814,250.012450773,272.000000000,0.000000000,0.000000000
point-0000072,59.907387133,234.800242677,250.014085371,272.000000000,0.000000000,0.000000000
point-0000073,60.790672871,234.872711734,251.484443472,272.000000000,0.000000000,0.000000000
point-0000074,60.791654569,234.872798961,251.486077308,272.000000000,0.000000000,0.000000000
point-0000075,60.792636267,234.872899551,251.487710376,272.000000000,0.000000000,0.000000000
point-0000076,60.793617965,234.873013498,251.489342567,272.000000000,0.000000000,0.000000000
point-0000077,60.794599663,234.873140793,251.490973771,272.000000000,0.000000000,0.000000000
point-0000078,60.795581361,234.873281428,251.492603879,272.000000000,0.000000000,0.000000000
point-0000079,60.796563059,234.873435395,251.494232782,272.000000000,0.000000000,0.000000000
point-0000080,60.797544757,234.873602681,251.495860371,272.000000000,0.000000000,0.000000000
point-0000081,60.798526455,234.873783277,251.497486537,272.000000000,0.000000000,0.000000000
point-0000082,60.799508153,234.873977171,251.499111171,272.000000000,0.000000000,0.000000000
point-0000083,60.800489851,234.874184348,251.500734164,272.000000000,0.000000000,0.000000000
point-0000084,60.801471549,234.874404796,251.502355409,272.000000000,0.000000000,0.000000000
point-0000085,60.802453247,234.874638499,251.503974795,272.000000000,0.000000000,0.000000000
point-0000086,61.685725391,235.090868727,252.960128115,272.000000000,0.000000000,0.000000000
point-0000087,61.686707104,235.091115675,252.961745560,272.000000000,0.000000000,0.000000000
point-0000088,61.687688816,235.091375846,252.963360930,272.000000000,0.000000000,0.000000000
point-0000089,61.688670529,235.091649223,252.964974118,272.000000000,0.000000000,0.000000000
point-0000090,61.689652241,235.091935789,252.966585015,272.000000000,0.000000000,0.000000000
point-0000091,61.690633954,235.092235523,252.968193515,272.000000000,0.000000000,0.000000000
point-0000092,61.691615667,235.092548407,252.969799508,272.000000000,0.000000000,0.000000000
point-0000093,61.692597379,235.092874418,252.971402888,272.000000000,0.000000000,0.000000000
point-0000094,61.693579092,235.093213536,252.973003547,272.000000000,0.000000000,0.000000000
point-0000095,61.694560805,235.093565737,252.974601378,272.000000000,0.000000000,0.000000000
point-0000096,61.695542517,235.093930998,252.976196275,272.000000000,0.000000000,0.000000000
point-0000097,61.696524230,235.094309294,252.977788130,272.000000000,0.000000000,0.000000000
point-0000098,61.697505943,235.094700600,252.979376837,272.000000000,0.000000000,0.000000000
