source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,250.300000000,250.300000000,252.500000000,0.000000000,0.000000000
point-0000002,4.440000000,257.700000000,250.300000000,252.500000000,0.000000000,0.000000000
point-0000003,7.680000000,257.700000000,255.700000000,252.500000000,0.000000000,0.000000000
point-0000004,12.120000000,250.300000000,255.700000000,252.500000000,0.000000000,0.000000000
point-0000005,15.360000000,250.300000000,250.300000000,252.500000000,0.000000000,0.000000000
point-0000006,15.762492236,250.600000000,250.900000000,252.500000000,0.000000000,0.000000000
point-0000007,19.842492236,257.400000000,250.900000000,252.500000000,0.000000000,0.000000000
point-0000008,20.202492236,257.400000000,251.500000000,252.500000000,0.000000000,0.000000000
point-0000009,24.282492236,250.600000000,251.500000000,252.500000000,0.000000000,0.000000000
point-0000010,24.642492236,250.600000000,252.100000000,252.500000000,0.000000000,0.000000000
point-0000011,28.722492236,257.400000000,252.100000000,252.500000000,0.000000000,0.000000000
point-0000012,29.082492236,257.400000000,252.700000000,252.500000000,0.000000000,0.000000000
point-0000013,33.162492236,250.600000000,252.700000000,252.500000000,0.000000000,0.000000000
point-0000014,33.522492236,250.600000000,253.300000000,252.500000000,0.000000000,0.000000000
point-0000015,37.602492236,257.400000000,253.300000000,252.500000000,0.000000000,0.000000000
point-0000016,37.962492236,257.400000000,253.900000000,252.500000000,0.000000000,0.000000000
point-0000017,42.042492236,250.600000000,253.900000000,252.500000000,0.000000000,0.000000000
point-0000018,42.402492236,250.600000000,254.500000000,252.500000000,0.000000000,0.000000000
point-0000019,46.482492236,257.400000000,254.500000000,252.500000000,0.000000000,0.000000000
point-0000020,46.842492236,257.400000000,255.100000000,252.500000000,0.000000000,0.000000000
point-0000021,50.922492236,250.600000000,255.100000000,252.500000000,0.000000000,0.000000000
