source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,254.267967222,240.472937392,308.300000000,0.000000000,0.000000000
point-0000002,29.640069198,281.536374611,199.280640138,308.300000000,0.000000000,0.000000000
point-0000003,31.680074683,284.371473015,201.157413754,308.300000000,0.000000000,0.000000000
point-0000004,61.031392069,257.368713236,241.948418326,308.300000000,0.000000000,0.000000000
point-0000005,61.320143538,257.103065862,242.349710479,308.300000000,0.000000000,0.000000000
point-0000006,63.360148966,254.267967222,240.472937392,308.300000000,0.000000000,0.000000000
point-0000007,63.725684739,254.810811175,240.196392434,308.300000000,0.000000000,0.000000000
point-0000008,65.740441743,258.168739515,240.196392434,308.300000000,0.000000000,0.000000000
point-0000009,66.172173950,258.565926494,239.596392434,308.300000000,0.000000000,0.000000000
point-0000010,68.186930953,255.207998157,239.596392434,308.300000000,0.000000000,0.000000000
point-0000011,68.618663161,255.605185139,238.996392434,308.300000000,0.000000000,0.000000000
point-0000012,70.633420161,258.963113473,238.996392434,308.300000000,0.000000000,0.000000000
point-0000013,71.065152368,259.360300451,238.396392434,308.300000000,0.000000000,0.000000000
point-0000014,73.079909367,256.002372120,238.396392434,308.300000000,0.000000000,0.000000000
point-0000015,73.511641575,256.399559102,237.796392434,308.300000000,0.000000000,0.000000000
point-0000016,75.526398572,259.757487430,237.796392434,308.300000000,0.000000000,0.000000000
point-0000017,75.958130779,260.154674409,237.196392434,308.300000000,0.000000000,0.000000000
point-0000018,77.972887774,256.796746084,237.196392434,308.300000000,0.000000000,0.000000000
point-0000019,78.404619982,257.193933066,236.596392434,308.300000000,0.000000000,0.000000000
point-0000020,80.419376975,260.551861388,236.596392434,308.300000000,0.000000000,0.000000000
point-0000021,80.851109182,260.949048367,235.996392434,308.300000000,0.000000000,0.000000000
point-0000022,82.865866173,257.591120048,235.996392434,308.300000000,0.000000000,0.000000000
point-0000023,83.297598381,257.988307030,235.396392434,308.300000000,0.000000000,0.000000000
point-0000024,85.312355370,261.346235345,235.396392434,308.300000000,0.000000000,0.000000000
point-0000025,85.744087577,261.743422324,234.796392434,308.300000000,0.000000000,0.000000000
point-0000026,87.758844565,258.385494012,234.796392434,308.300000000,0.000000000,0.000000000
point-0000027,88.190576773,258.782680994,234.196392434,308.300000000,0.000000000,0.000000000
point-0000028,90.205333758,262.140609303,234.196392434,308.300000000,0.000000000,0.000000000
point-0000029,90.637065965,262.537796282,233.596392434,308.300000000,0.000000000,0.000000000
point-0000030,92.651822949,259.179867976,233.596392434,308.300000000,0.000000000,0.000000000
point-0000031,93.083555157,259.577054958,232.996392434,308.300000000,0.000000000,0.000000000
point-0000032,95.098312139,262.934983260,232.996392434,308.300000000,0.000000000,0.000000000
point-0000033,95.530044346,263.332170239,232.396392434,308.300000000,0.000000000,0.000000000
point-0000034,97.544801326,259.974241939,232.396392434,308.300000000,0.000000000,0.000000000
point-0000035,97.976533534,260.371428921,231.796392434,308.300000000,0.000000000,0.000000000
point-0000036,99.991290512,263.729357218,231.796392434,308.300000000,0.000000000,0.000000000
point-0000037,100.423022719,264.126544197,231.196392434,308.300000000,0.000000000,0.000000000
point-0000038,102.437779695,260.768615903,231.196392434,308.300000000,0.000000000,0.000000000
point-0000039,102.869511903,261.165802885,230.596392434,308.300000000,0.000000000,0.000000000
point-0000040,104.884268877,264.523731176,230.596392434,308.300000000,0.000000000,0.000000000
point-0000041,105.316001084,264.920918154,229.996392434,308.300000000,0.000000000,0.000000000
point-0000042,107.330758057,261.562989867,229.996392434,308.300000000,0.000000000,0.000000000
point-0000043,107.762490265,261.960176849,229.396392434,308.300000000,0.000000000,0.000000000
point-0000044,109.777247235,265.318105133,229.396392434,308.300000000,0.000000000,0.000000000
point-0000045,110.208979442,265.715292112,228.796392434,308.300000000,0.000000000,0.000000000
point-0000046,112.223736411,262.357363831,228.796392434,308.300000000,0.000000000,0.000000000
point-0000047,112.655468619,262.754550813,228.196392434,308.300000000,0.000000000,0.000000000
point-0000048,114.670225585,266.112479091,228.196392434,308.300000000,0.000000000,0.000000000
point-0000049,115.101957793,266.509666069,227.596392434,308.300000000,0.000000000,0.000000000
point-0000050,117.116714757,263.151737795,227.596392434,308.300000000,0.000000000,0.000000000
point-0000051,117.548446965,263.548924777,226.996392434,308.300000000,0.000000000,0.000000000
point-0000052,119.563203928,266.906853048,226.996392434,308.300000000,0.000000000,0.000000000
point-0000053,119.994936135,267.304040027,226.396392434,308.300000000,0.000000000,0.000000000
point-0000054,122.009693097,263.946111759,226.396392434,308.300000000,0.000000000,0.000000000
point-0000055,122.441425305,264.343298740,225.796392434,308.300000000,0.000000000,0.000000000
point-0000056,124.456182264,267.701227006,225.796392434,308.300000000,0.000000000,0.000000000
point-0000057,124.887914471,268.098413985,225.196392434,308.300000000,0.000000000,0.000000000
