source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,254.300000000,252.800000000,252.500000000,0.000000000,0.000000000
point-0000002,4.440000000,261.700000000,252.800000000,252.500000000,0.000000000,0.000000000
point-0000003,5.040000000,261.700000000,253.800000000,252.500000000,0.000000000,0.000000000
point-0000004,9.480000000,254.300000000,253.800000000,252.500000000,0.000000000,0.000000000
point-0000005,10.080000000,254.300000000,254.800000000,252.500000000,0.000000000,0.000000000
point-0000006,14.520000000,261.700000000,254.800000000,252.500000000,0.000000000,0.000000000
point-0000007,15.120000000,261.700000000,255.800000000,252.500000000,0.000000000,0.000000000
point-0000008,19.560000000,254.300000000,255.800000000,252.500000000,0.000000000,0.000000000
point-0000009,20.160000000,254.300000000,256.800000000,252.500000000,0.000000000,0.000000000
point-0000010,24.600000000,261.700000000,256.800000000,252.500000000,0.000000000,0.000000000
point-0000011,29.551726971,254.800000000,252.300000000,253.000000000,0.000000000,0.000000000
point-0000012,32.791726971,254.800000000,257.700000000,253.000000000,0.000000000,0.000000000
point-0000013,33.391726971,255.800000000,257.700000000,253.000000000,0.000000000,0.000000000
point-0000014,36.631726971,255.800000000,252.300000000,253.000000000,0.000000000,0.000000000
point-0000015,37.231726971,256.800000000,252.300000000,253.000000000,0.000000000,0.000000000
point-0000016,40.471726971,256.800000000,257.700000000,253.000000000,0.000000000,0.000000000
point-0000017,41.071726971,257.800000000,257.700000000,253.000000000,0.000000000,0.000000000
point-0000018,44.311726971,257.800000000,252.300000000,253.000000000,0.000000000,0.000000000
point-0000019,44.911726971,258.800000000,252.300000000,253.000000000,0.000000000,0.000000000
point-0000020,48.151726971,258.800000000,257.700000000,253.000000000,0.000000000,0.000000000
point-0000021,48.751726971,259.800000000,257.700000000,253.000000000,0.000000000,0.000000000
point-0000022,51.991726971,259.800000000,252.300000000,253.000000000,0.000000000,0.000000000
point-0000023,52.591726971,260.800000000,252.300000000,253.000000000,0.000000000,0.000000000
point-0000024,55.831726971,260.800000000,257.700000000,253.000000000,0.000000000,0.000000000
point-0000025,60.797973039,254.300000000,252.600000000,253.500000000,0.000000000,0.000000000
point-0000026,65.237973039,261.700000000,252.600000000,253.500000000,0.000000000,0.000000000
point-0000027,65.597973039,261.700000000,253.200000000,253.500000000,0.000000000,0.000000000
point-0000028,70.037973039,254.300000000,253.200000000,253.500000000,0.000000000,0.000000000
point-0000029,70.397973039,254.300000000,253.800000000,253.500000000,0.000000000,0.000000000
point-0000030,74.837973039,261.700000000,253.800000000,253.500000000,0.000000000,0.000000000
point-0000031,75.197973039,261.700000000,254.400000000,253.500000000,0.000000000,0.000000000
point-0000032,79.637973039,254.300000000,254.400000000,253.500000000,0.000000000,0.000000000
point-0000033,79.997973039,254.300000000,255.000000000,253.500000000,0.000000000,0.000000000
point-0000034,84.437973039,261.700000000,255.000000000,253.500000000,0.000000000,0.000000000
point-0000035,84.797973039,261.700000000,255.600000000,253.500000000,0.000000000,0.000000000
point-0000036,89.237973039,254.300000000,255.600000000,253.500000000,0.000000000,0.000000000
point-0000037,89.597973039,254.300000000,256.200000000,253.500000000,0.000000000,0.000000000
point-0000038,94.037973039,261.700000000,256.200000000,253.500000000,0.000000000,0.000000000
point-0000039,94.397973039,261.700000000,256.800000000,253.500000000,0.000000000,0.000000000
point-0000040,98.837973039,254.300000000,256.800000000,253.500000000,0.000000000,0.000000000
point-0000041,99.197973039,254.300000000,257.400000000,253.500000000,0.000000000,0.000000000
point-0000042,103.637973039,261.700000000,257.400000000,253.500000000,0.000000000,0.000000000
point-0000043,108.891657460,254.600000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000044,112.131657460,254.600000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000045,112.491657460,255.200000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000046,115.731657460,255.200000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000047,116.091657460,255.800000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000048,119.331657460,255.800000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000049,119.691657460,256.400000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000050,122.931657460,256.400000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000051,123.291657460,257.000000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000052,126.531657460,257.000000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000053,126.891657460,257.600000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000054,130.131657460,257.600000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000055,130.491657460,258.200000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000056,133.731657460,258.200000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000057,134.091657460,258.800000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000058,137.331657460,258.800000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000059,137.691657460,259.400000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000060,140.931657460,259.400000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000061,141.291657460,260.000000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000062,144.531657460,260.000000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000063,144.891657460,260.600000000,252.300000000,254.000000000,0.000000000,0.000000000
point-0000064,148.131657460,260.600000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000065,148.491657460,261.200000000,257.700000000,254.000000000,0.000000000,0.000000000
point-0000066,151.731657460,261.200000000,252.300000000,254.000000000,0.000000000,0.000000000
