source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,302.000000000,252.000000000,-247.500000000,-1.570796327,0.000000000
point-0000002,1.052577642,291.148768368,252.002036192,-258.968770590,-1.570833733,0.038633699
point-0000003,2.042120701,280.521003719,252.026628971,-269.330671636,-1.570871764,0.074847382
point-0000004,2.966767098,270.215560505,252.101617179,-278.612949521,-1.570811018,0.108608442
point-0000005,3.825733245,260.314399267,252.253438499,-286.856376954,-1.570568336,0.139912724
point-0000006,4.619066989,250.884332829,252.505687910,-294.110366463,-1.570076391,0.168776060
point-0000007,5.347399691,241.979438284,252.878011634,-300.428566092,-1.569282503,0.195226036
point-0000008,6.011737739,233.643772136,253.385953552,-305.865596462,-1.568147010,0.219294665
point-0000009,6.613283743,225.914090020,254.041031166,-310.474375764,-1.566641466,0.241012077
point-0000010,7.148550575,218.883027869,254.845267082,-314.266769503,-1.564764001,0.260210467
point-0000011,7.616368409,212.613605252,255.801763275,-317.270350435,-1.562504812,0.276803567
point-0000012,8.036767215,206.892039256,256.932849050,-319.668211503,-1.559795976,0.291543202
point-0000013,8.410065657,201.755835343,258.231831281,-321.480997489,-1.556655217,0.304372134
point-0000014,8.737300948,197.238076401,259.689541901,-322.729434266,-1.553103858,0.315239112
point-0000015,9.020526125,193.368090811,261.294741398,-323.433180503,-1.549165955,0.324096670
point-0000016,9.263398186,190.172156877,263.034501519,-323.610041007,-1.544867554,0.330898983
point-0000017,9.472223809,187.674185538,264.894500821,-323.274819437,-1.540236105,0.335599832
point-0000018,9.657459187,185.896385950,266.859196115,-322.438378363,-1.535300052,0.338150551
point-0000019,9.836580851,184.779062551,268.928673187,-321.139193459,-1.530042409,0.338740170
point-0000020,10.025815312,184.134483688,271.126621138,-319.462672894,-1.524382255,0.337934268
point-0000021,10.231907117,183.976107703,273.433466851,-317.410846359,-1.518358871,0.335691585
point-0000022,10.460389016,184.315992974,275.829299376,-314.983840059,-1.512010510,0.331971549
point-0000023,10.715627991,185.165280568,278.293649023,-312.179601907,-1.505375111,0.326732465
point-0000024,11.001068354,186.534101178,280.805513764,-308.993850675,-1.498490305,0.319931385
point-0000025,11.319473955,188.431161431,283.343444503,-305.420190313,-1.491393405,0.311524966
