source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,327.018400249,216.607482234,255.696773567,-1.210279180,-1.256636921
point-0000002,1.385579806,335.751897499,222.419754447,237.755046166,-1.210527821,-1.198969352
point-0000003,2.754642139,343.252319290,228.419058985,219.603554654,-1.211673270,-1.142675331
point-0000004,4.104710938,349.572699648,234.492968008,201.348015284,-1.213547193,-1.087755167
point-0000005,5.434210969,354.773419873,240.552783153,183.074141188,-1.216004316,-1.034174846
point-0000006,6.742365733,358.917482256,246.530893393,164.849859462,-1.218924014,-0.981876836
point-0000007,8.029056507,362.067205794,252.377339621,146.727986864,-1.222210359,-0.930789735
point-0000008,9.294658058,364.282182332,258.056096941,128.749145593,-1.225791053,-0.880836751
point-0000009,10.539873916,365.618308847,263.541483728,110.944599332,-1.229615581,-0.831942673
point-0000010,11.765170760,366.127482416,268.813134851,93.344749415,-1.233560879,-0.783984784
point-0000011,12.971984224,365.856851974,273.861323893,75.962797216,-1.237748999,-0.736990141
point-0000012,14.161483787,364.857358898,278.667794640,58.808980594,-1.242336028,-0.691023536
point-0000013,15.333869675,363.176972190,283.214010602,41.904301590,-1.247238667,-0.646003594
point-0000014,16.489527723,360.858851911,287.488702827,25.265459456,-1.252388832,-0.601853228
point-0000015,17.628931254,357.941967203,291.485853403,8.906405018,-1.257731742,-0.558502401
point-0000016,18.752551939,354.461919688,295.203066782,-7.160311160,-1.263223989,-0.515890371
point-0000017,19.860819809,350.451745163,298.640428340,-22.922957573,-1.268831862,-0.473966007
point-0000018,20.953999508,345.943078753,301.799389666,-38.368905525,-1.274529275,-0.432691290
point-0000019,22.031708837,340.975248836,304.673472178,-53.481424499,-1.280349452,-0.392099836
point-0000020,23.090887777,335.633401866,307.211541069,-68.227318275,-1.286565690,-0.352515522
point-0000021,24.131179707,329.961077753,309.410572613,-82.596926549,-1.293136681,-0.313915760
point-0000022,25.152534222,323.994142852,311.276024641,-96.583631369,-1.299998884,-0.276249783
point-0000023,26.154917069,317.765265996,312.816793897,-110.181450383,-1.307093629,-0.239470707
point-0000024,27.138281325,311.304397224,314.044639213,-123.384698245,-1.314366264,-0.203535940
point-0000025,28.102544424,304.639215908,314.973736992,-136.187740198,-1.321765376,-0.168407427
point-0000026,29.047569363,297.795547257,315.620343626,-148.584809601,-1.329242074,-0.134051812
point-0000027,29.972960038,290.801014128,316.000203599,-160.568569046,-1.336757833,-0.100454660
point-0000028,30.873043464,283.774441237,316.067116321,-172.097080895,-1.344499341,-0.067988294
point-0000029,31.745375757,276.788213886,315.812322320,-183.158026790,-1.352512561,-0.036791909
