source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,254.784314001,240.721538595,312.000000000,0.000000000,0.000000000
point-0000002,29.639926051,284.271914155,201.087850143,312.000000000,0.000000000,0.000000000
point-0000003,31.679920195,286.999737841,203.117360323,312.000000000,0.000000000,0.000000000
point-0000004,61.319846825,257.512137112,242.751049547,312.000000000,0.000000000,0.000000000
point-0000005,63.359840969,254.784314001,240.721538595,312.000000000,0.000000000,0.000000000
point-0000006,63.868957779,255.623845815,240.598306582,312.000000000,0.000000000,0.000000000
point-0000007,92.788883932,284.395146304,201.927382059,312.000000000,0.000000000,0.000000000
point-0000008,94.108878076,286.160205925,203.240592472,312.000000000,0.000000000,0.000000000
point-0000009,123.028804603,257.388905064,241.911517495,312.000000000,0.000000000,0.000000000
point-0000010,124.348798747,255.623845815,240.598306582,312.000000000,0.000000000,0.000000000
point-0000011,124.857915558,256.463377629,240.475074569,312.000000000,0.000000000,0.000000000
point-0000012,153.057841813,284.518378453,202.766913975,312.000000000,0.000000000,0.000000000
point-0000013,153.657835957,285.320674010,203.363824621,312.000000000,0.000000000,0.000000000
point-0000014,181.857762382,257.265673017,241.071985443,312.000000000,0.000000000,0.000000000
point-0000015,182.457756526,256.463377629,240.475074569,312.000000000,0.000000000,0.000000000
