source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,254.364547297,240.783155671,312.000000000,0.000000000,0.000000000
point-0000002,1.012674296,255.373292598,239.430017920,312.009375000,0.000000000,0.000000000
point-0000003,2.025347612,256.382409232,238.077159108,312.018750000,0.000000000,0.000000000
point-0000004,3.038020024,257.391897199,236.724579237,312.028125000,0.000000000,0.000000000
point-0000005,4.050691611,258.401756499,235.372278306,312.037500000,0.000000000,0.000000000
point-0000006,5.063362448,259.411987133,234.020256315,312.046875000,0.000000000,0.000000000
point-0000007,6.076032611,260.422589100,232.668513265,312.056250000,0.000000000,0.000000000
point-0000008,7.088702178,261.433562401,231.317049155,312.065625000,0.000000000,0.000000000
point-0000009,8.101371226,262.444907035,229.965863985,312.075000000,0.000000000,0.000000000
point-0000010,9.114039830,263.456623002,228.614957756,312.084375000,0.000000000,0.000000000
point-0000011,10.126708069,264.468710303,227.264330467,312.093750000,0.000000000,0.000000000
point-0000012,11.139376017,265.481168937,225.913982119,312.103125000,0.000000000,0.000000000
point-0000013,12.152043752,266.493998904,224.563912711,312.112500000,0.000000000,0.000000000
point-0000014,13.164711352,267.507200205,223.214122243,312.121875000,0.000000000,0.000000000
point-0000015,14.177378891,268.520772839,221.864610715,312.131250000,0.000000000,0.000000000
point-0000016,15.190046448,269.534716806,220.515378128,312.140625000,0.000000000,0.000000000
point-0000017,16.202714098,270.549032107,219.166424482,312.150000000,0.000000000,0.000000000
point-0000018,17.215381919,271.563718741,217.817749775,312.159375000,0.000000000,0.000000000
point-0000019,18.228049987,272.578776709,216.469354009,312.168750000,0.000000000,0.000000000
point-0000020,19.240718378,273.594206009,215.121237183,312.178125000,0.000000000,0.000000000
point-0000021,20.253387170,274.610006643,213.773399298,312.187500000,0.000000000,0.000000000
point-0000022,21.266056439,275.626178611,212.425840353,312.196875000,0.000000000,0.000000000
point-0000023,22.278726262,276.642721912,211.078560348,312.206250000,0.000000000,0.000000000
point-0000024,23.291396716,277.659636546,209.731559284,312.215625000,0.000000000,0.000000000
point-0000025,24.304067876,278.676922513,208.384837160,312.225000000,0.000000000,0.000000000
point-0000026,25.316739821,279.694579814,207.038393976,312.234375000,0.000000000,0.000000000
point-0000027,26.329412626,280.712608448,205.692229733,312.243750000,0.000000000,0.000000000
point-0000028,27.342086368,281.731008416,204.346344430,312.253125000,0.000000000,0.000000000
point-0000029,28.354761124,282.749779717,203.000738067,312.262500000,0.000000000,0.000000000
point-0000030,29.367436970,283.768922351,201.655410645,312.271875000,0.000000000,0.000000000
