source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,254.784314660,240.721539092,312.000000000,0.000000000,0.000000000
point-0000002,0.288748265,255.071578323,240.335432415,312.000000000,0.000000000,0.000000000
point-0000003,29.639926055,284.271914155,201.087850143,312.000000000,0.000000000,0.000000000
point-0000004,31.679920199,286.999737841,203.117360323,312.000000000,0.000000000,0.000000000
point-0000005,61.319846884,257.512137795,242.751050171,312.000000000,0.000000000,0.000000000
point-0000006,63.359841084,254.784314660,240.721539092,312.000000000,0.000000000,0.000000000
point-0000007,63.868957538,255.623845802,240.598306599,312.000000000,0.000000000,0.000000000
point-0000008,92.788883704,284.395146304,201.927382059,312.000000000,0.000000000,0.000000000
point-0000009,94.108877848,286.160205925,203.240592472,312.000000000,0.000000000,0.000000000
point-0000010,123.028804422,257.388905018,241.911517557,312.000000000,0.000000000,0.000000000
point-0000011,124.348798566,255.623845802,240.598306599,312.000000000,0.000000000,0.000000000
point-0000012,124.857915369,256.463377607,240.475074599,312.000000000,0.000000000,0.000000000
point-0000013,153.057841647,284.518378453,202.766913975,312.000000000,0.000000000,0.000000000
point-0000014,153.657835791,285.320674010,203.363824621,312.000000000,0.000000000,0.000000000
point-0000015,181.857762253,257.265672980,241.071985493,312.000000000,0.000000000,0.000000000
point-0000016,182.457756397,256.463377607,240.475074599,312.000000000,0.000000000,0.000000000
