source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,280.980655622,199.639776445,252.500000000,0.000000000,0.000000000
point-0000002,0.654298134,282.071152511,199.639776445,252.500000000,0.000000000,0.000000000
point-0000003,1.748701274,283.596601657,200.639776445,252.500000000,0.000000000,0.000000000
point-0000004,3.711595675,280.325110989,200.639776445,252.500000000,0.000000000,0.000000000
point-0000005,4.429025780,279.669566356,201.639776445,252.500000000,0.000000000,0.000000000
point-0000006,6.868288137,283.735003618,201.639776445,252.500000000,0.000000000,0.000000000
point-0000007,7.585718242,283.079458985,202.639776445,252.500000000,0.000000000,0.000000000
point-0000008,10.024980599,279.014021724,202.639776445,252.500000000,0.000000000,0.000000000
point-0000009,10.742410704,278.358477091,203.639776445,252.500000000,0.000000000,0.000000000
point-0000010,13.181673061,282.423914353,203.639776445,252.500000000,0.000000000,0.000000000
point-0000011,13.899103166,281.768369720,204.639776445,252.500000000,0.000000000,0.000000000
point-0000012,16.338365523,277.702932458,204.639776445,252.500000000,0.000000000,0.000000000
point-0000013,17.055795628,277.047387826,205.639776445,252.500000000,0.000000000,0.000000000
point-0000014,19.495057985,281.112825087,205.639776445,252.500000000,0.000000000,0.000000000
point-0000015,20.212488090,280.457280455,206.639776445,252.500000000,0.000000000,0.000000000
point-0000016,22.651750447,276.391843193,206.639776445,252.500000000,0.000000000,0.000000000
point-0000017,23.369180552,275.736298560,207.639776445,252.500000000,0.000000000,0.000000000
point-0000018,25.808442909,279.801735822,207.639776445,252.500000000,0.000000000,0.000000000
point-0000019,26.525873014,279.146191189,208.639776445,252.500000000,0.000000000,0.000000000
point-0000020,28.965135371,275.080753927,208.639776445,252.500000000,0.000000000,0.000000000
point-0000021,29.682565476,274.425209295,209.639776445,252.500000000,0.000000000,0.000000000
point-0000022,32.121827833,278.490646556,209.639776445,252.500000000,0.000000000,0.000000000
point-0000023,32.839257938,277.835101924,210.639776445,252.500000000,0.000000000,0.000000000
point-0000024,35.278520295,273.769664662,210.639776445,252.500000000,0.000000000,0.000000000
point-0000025,35.995950400,273.114120029,211.639776445,252.500000000,0.000000000,0.000000000
point-0000026,38.435212757,277.179557291,211.639776445,252.500000000,0.000000000,0.000000000
point-0000027,39.152642862,276.524012658,212.639776445,252.500000000,0.000000000,0.000000000
point-0000028,41.591905219,272.458575397,212.639776445,252.500000000,0.000000000,0.000000000
point-0000029,42.309335324,271.803030764,213.639776445,252.500000000,0.000000000,0.000000000
point-0000030,44.748597681,275.868468026,213.639776445,252.500000000,0.000000000,0.000000000
point-0000031,45.466027786,275.212923393,214.639776445,252.500000000,0.000000000,0.000000000
point-0000032,47.905290143,271.147486131,214.639776445,252.500000000,0.000000000,0.000000000
point-0000033,48.622720248,270.491941499,215.639776445,252.500000000,0.000000000,0.000000000
point-0000034,51.061982605,274.557378760,215.639776445,252.500000000,0.000000000,0.000000000
point-0000035,51.779412710,273.901834128,216.639776445,252.500000000,0.000000000,0.000000000
point-0000036,54.218675067,269.836396866,216.639776445,252.500000000,0.000000000,0.000000000
point-0000037,54.936105172,269.180852233,217.639776445,252.500000000,0.000000000,0.000000000
point-0000038,57.375367529,273.246289495,217.639776445,252.500000000,0.000000000,0.000000000
point-0000039,58.092797634,272.590744862,218.639776445,252.500000000,0.000000000,0.000000000
point-0000040,60.532059991,268.525307601,218.639776445,252.500000000,0.000000000,0.000000000
point-0000041,61.249490096,267.869762968,219.639776445,252.500000000,0.000000000,0.000000000
point-0000042,63.688752453,271.935200230,219.639776445,252.500000000,0.000000000,0.000000000
point-0000043,64.406182558,271.279655597,220.639776445,252.500000000,0.000000000,0.000000000
point-0000044,66.845444915,267.214218335,220.639776445,252.500000000,0.000000000,0.000000000
point-0000045,67.562875020,266.558673702,221.639776445,252.500000000,0.000000000,0.000000000
point-0000046,70.002137377,270.624110964,221.639776445,252.500000000,0.000000000,0.000000000
point-0000047,70.719567482,269.968566331,222.639776445,252.500000000,0.000000000,0.000000000
point-0000048,73.158829839,265.903129070,222.639776445,252.500000000,0.000000000,0.000000000
point-0000049,73.876259944,265.247584437,223.639776445,252.500000000,0.000000000,0.000000000
point-0000050,76.315522301,269.313021699,223.639776445,252.500000000,0.000000000,0.000000000
point-0000051,77.032952406,268.657477066,224.639776445,252.500000000,0.000000000,0.000000000
point-0000052,79.472214763,264.592039804,224.639776445,252.500000000,0.000000000,0.000000000
point-0000053,80.189644868,263.936495172,225.639776445,252.500000000,0.000000000,0.000000000
point-0000054,82.628907225,268.001932433,225.639776445,252.500000000,0.000000000,0.000000000
point-0000055,83.346337330,267.346387801,226.639776445,252.500000000,0.000000000,0.000000000
point-0000056,85.785599687,263.280950539,226.639776445,252.500000000,0.000000000,0.000000000
point-0000057,86.503029792,262.625405906,227.639776445,252.500000000,0.000000000,0.000000000
point-0000058,88.942292149,266.690843168,227.639776445,252.500000000,0.000000000,0.000000000
point-0000059,89.659722254,266.035298535,228.639776445,252.500000000,0.000000000,0.000000000
point-0000060,92.098984611,261.969861274,228.639776445,252.500000000,0.000000000,0.000000000
point-0000061,92.816414716,261.314316641,229.639776445,252.500000000,0.000000000,0.000000000
point-0000062,95.255677073,265.379753903,229.639776445,252.500000000,0.000000000,0.000000000
point-0000063,95.973107178,264.724209270,230.639776445,252.500000000,0.000000000,0.000000000
point-0000064,98.412369535,260.658772008,230.639776445,252.500000000,0.000000000,0.000000000
point-0000065,99.129799640,260.003227376,231.639776445,252.500000000,0.000000000,0.000000000
point-0000066,101.569061997,264.068664637,231.639776445,252.500000000,0.000000000,0.000000000
point-0000067,102.286492102,263.413120005,232.639776445,252.500000000,0.000000000,0.000000000
point-0000068,104.725754459,259.347682743,232.639776445,252.500000000,0.000000000,0.000000000
point-0000069,105.443184564,258.692138110,233.639776445,252.500000000,0.000000000,0.000000000
