source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,250.000000000,256.000000000,252.500000000,0.000000000,0.000000000
point-0000002,0.056250000,250.000000000,255.906250000,252.500000000,0.000000000,0.000000000
point-0000003,0.112500000,250.000000000,255.812500000,252.500000000,0.000000000,0.000000000
point-0000004,0.168750000,250.000000000,255.718750000,252.500000000,0.000000000,0.000000000
point-0000005,0.225000000,250.000000000,255.625000000,252.500000000,0.000000000,0.000000000
point-0000006,0.281250000,250.000000000,255.531250000,252.500000000,0.000000000,0.000000000
point-0000007,0.337500000,250.000000000,255.437500000,252.500000000,0.000000000,0.000000000
point-0000008,0.393750000,250.000000000,255.343750000,252.500000000,0.000000000,0.000000000
point-0000009,0.450000000,250.000000000,255.250000000,252.500000000,0.000000000,0.000000000
point-0000010,0.506250000,250.000000000,255.156250000,252.500000000,0.000000000,0.000000000
point-0000011,0.562500000,250.000000000,255.062500000,252.500000000,0.000000000,0.000000000
point-0000012,0.618750000,250.000000000,254.968750000,252.500000000,0.000000000,0.000000000
point-0000013,0.675000000,250.000000000,254.875000000,252.500000000,0.000000000,0.000000000
point-0000014,0.731250000,250.000000000,254.781250000,252.500000000,0.000000000,0.000000000
point-0000015,0.787500000,250.000000000,254.687500000,252.500000000,0.000000000,0.000000000
point-0000016,0.843750000,250.000000000,254.593750000,252.500000000,0.000000000,0.000000000
point-0000017,0.900000000,250.000000000,254.500000000,252.500000000,0.000000000,0.000000000
point-0000018,0.956250000,250.000000000,254.406250000,252.500000000,0.000000000,0.000000000
point-0000019,1.012500000,250.000000000,254.312500000,252.500000000,0.000000000,0.000000000
point-0000020,1.068750000,250.000000000,254.218750000,252.500000000,0.000000000,0.000000000
point-0000021,1.125000000,250.000000000,254.125000000,252.500000000,0.000000000,0.000000000
point-0000022,1.181250000,250.000000000,254.031250000,252.500000000,0.000000000,0.000000000
point-0000023,1.237500000,250.000000000,253.937500000,252.500000000,0.000000000,0.000000000
point-0000024,1.293750000,250.000000000,253.843750000,252.500000000,0.000000000,0.000000000
point-0000025,1.350000000,250.000000000,253.750000000,252.500000000,0.000000000,0.000000000
point-0000026,1.406250000,250.000000000,253.656250000,252.500000000,0.000000000,0.000000000
point-0000027,1.462500000,250.000000000,253.562500000,252.500000000,0.000000000,0.000000000
point-0000028,1.518750000,250.000000000,253.468750000,252.500000000,0.000000000,0.000000000
point-0000029,1.575000000,250.000000000,253.375000000,252.500000000,0.000000000,0.000000000
point-0000030,1.631250000,250.000000000,253.281250000,252.500000000,0.000000000,0.000000000
point-0000031,1.687500000,250.000000000,253.187500000,252.500000000,0.000000000,0.000000000
point-0000032,1.743750000,250.000000000,253.093750000,252.500000000,0.000000000,0.000000000
point-0000033,1.800000000,250.000000000,253.000000000,252.500000000,0.000000000,0.000000000
point-0000034,1.856250000,250.000000000,252.906250000,252.500000000,0.000000000,0.000000000
point-0000035,1.912500000,250.000000000,252.812500000,252.500000000,0.000000000,0.000000000
point-0000036,1.968750000,250.000000000,252.718750000,252.500000000,0.000000000,0.000000000
point-0000037,2.025000000,250.000000000,252.625000000,252.500000000,0.000000000,0.000000000
point-0000038,2.081250000,250.000000000,252.531250000,252.500000000,0.000000000,0.000000000
point-0000039,2.137500000,250.000000000,252.437500000,252.500000000,0.000000000,0.000000000
point-0000040,2.193750000,250.000000000,252.343750000,252.500000000,0.000000000,0.000000000
point-0000041,2.250000000,250.000000000,252.250000000,252.500000000,0.000000000,0.000000000
point-0000042,2.306250000,250.000000000,252.156250000,252.500000000,0.000000000,0.000000000
point-0000043,2.362500000,250.000000000,252.062500000,252.500000000,0.000000000,0.000000000
point-0000044,2.418750000,250.000000000,251.968750000,252.500000000,0.000000000,0.000000000
point-0000045,2.475000000,250.000000000,251.875000000,252.500000000,0.000000000,0.000000000
point-0000046,2.531250000,250.000000000,251.781250000,252.500000000,0.000000000,0.000000000
point-0000047,2.587500000,250.000000000,251.687500000,252.500000000,0.000000000,0.000000000
point-0000048,2.643750000,250.000000000,251.593750000,252.500000000,0.000000000,0.000000000
point-0000049,2.700000000,250.000000000,251.500000000,252.500000000,0.000000000,0.000000000
point-0000050,2.756250000,250.000000000,251.406250000,252.500000000,0.000000000,0.000000000
point-0000051,2.812500000,250.000000000,251.312500000,252.500000000,0.000000000,0.000000000
point-0000052,2.868750000,250.000000000,251.218750000,252.500000000,0.000000000,0.000000000
point-0000053,2.925000000,250.000000000,251.125000000,252.500000000,0.000000000,0.000000000
point-0000054,2.981250000,250.000000000,251.031250000,252.500000000,0.000000000,0.000000000
point-0000055,3.037500000,250.000000000,250.937500000,252.500000000,0.000000000,0.000000000
point-0000056,3.093750000,250.000000000,250.843750000,252.500000000,0.000000000,0.000000000
point-0000057,3.150000000,250.000000000,250.750000000,252.500000000,0.000000000,0.000000000
