source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,250.000000000,266.003361037,272.000000000,0.000000000,0.000000000
point-0000002,0.941977690,248.431928447,265.926323054,272.000000000,0.000000000,0.000000000
point-0000003,1.883954189,246.878961418,265.695952877,272.000000000,0.000000000,0.000000000
point-0000004,2.825932443,245.356050134,265.314472313,272.000000000,0.000000000,0.000000000
point-0000005,3.767904835,243.877871317,264.785565039,272.000000000,0.000000000,0.000000000
point-0000006,4.709881490,242.458640721,264.114325628,272.000000000,0.000000000,0.000000000
point-0000007,5.651926384,241.111932459,263.307162818,272.000000000,0.000000000,0.000000000
point-0000008,6.593969218,239.850818367,262.371900597,272.000000000,0.000000000,0.000000000
point-0000009,7.535991131,238.687458820,261.317571785,272.000000000,0.000000000,0.000000000
point-0000010,8.478025456,237.633008257,260.154294670,272.000000000,0.000000000,0.000000000
point-0000011,9.420078531,236.697614084,258.893257198,272.000000000,0.000000000,0.000000000
point-0000012,10.362132857,235.890300769,257.546620823,272.000000000,0.000000000,0.000000000
point-0000013,11.304461206,235.218665923,256.126928851,272.000000000,0.000000000,0.000000000
point-0000014,12.246828804,234.689414318,254.648173673,272.000000000,0.000000000,0.000000000
point-0000015,13.189111661,234.307703771,253.124796646,272.000000000,0.000000000,0.000000000
point-0000016,14.131327861,234.077169087,251.571450151,272.000000000,0.000000000,0.000000000
point-0000017,15.073556116,234.000000048,250.002966929,272.000000000,0.000000000,0.000000000
point-0000018,16.015865391,234.076959082,248.434338193,272.000000000,0.000000000,0.000000000
point-0000019,16.958242714,234.307342458,246.880697774,272.000000000,0.000000000,0.000000000
point-0000020,17.900505716,234.688877290,245.357310842,272.000000000,0.000000000,0.000000000
point-0000021,18.842656332,235.217837376,243.878835440,272.000000000,0.000000000,0.000000000
point-0000022,19.785027132,235.889340175,242.459002742,272.000000000,0.000000000,0.000000000
point-0000023,20.727369787,236.696784570,241.111884667,272.000000000,0.000000000,0.000000000
point-0000024,21.669622394,237.632314946,239.850534174,272.000000000,0.000000000,0.000000000
point-0000025,22.611833615,238.686942341,238.687019424,272.000000000,0.000000000,0.000000000
point-0000026,23.554086715,239.850601340,237.632447252,272.000000000,0.000000000,0.000000000
point-0000027,24.496429851,241.112163063,236.696948405,272.000000000,0.000000000,0.000000000
point-0000028,25.438800000,242.459405766,235.889622825,272.000000000,0.000000000,0.000000000
point-0000029,26.380939307,243.878956723,235.218426748,272.000000000,0.000000000,0.000000000
point-0000030,27.322934908,245.357234462,234.689681150,272.000000000,0.000000000,0.000000000
point-0000031,28.264924933,246.880207522,234.308366510,272.000000000,0.000000000,0.000000000
point-0000032,29.206916082,248.433222171,234.078151005,272.000000000,0.000000000,0.000000000
point-0000033,30.148909811,250.001327315,234.001252111,272.000000000,0.000000000,0.000000000
point-0000034,31.090974831,251.569538066,234.078422852,272.000000000,0.000000000,0.000000000
point-0000035,32.033099555,253.122731391,234.308951073,272.000000000,0.000000000,0.000000000
point-0000036,32.975185835,254.645786708,234.690597578,272.000000000,0.000000000,0.000000000
point-0000037,33.917250249,256.124066167,235.219678810,272.000000000,0.000000000,0.000000000
point-0000038,34.859342361,257.543410389,235.891128031,272.000000000,0.000000000,0.000000000
point-0000039,35.801468439,258.890153319,236.698496183,272.000000000,0.000000000,0.000000000
point-0000040,36.743515915,260.151170799,237.633901646,272.000000000,0.000000000,0.000000000
point-0000041,37.685535408,261.314403068,238.688364876,272.000000000,0.000000000,0.000000000
point-0000042,38.627549947,262.368683896,239.851751321,272.000000000,0.000000000,0.000000000
point-0000043,39.569554575,263.303860289,241.112849787,272.000000000,0.000000000,0.000000000
point-0000044,40.511574125,264.110952808,242.459550932,272.000000000,0.000000000,0.000000000
point-0000045,41.453583198,264.782169508,243.878852037,272.000000000,0.000000000,0.000000000
point-0000046,42.395734630,265.311128324,245.357329337,272.000000000,0.000000000,0.000000000
point-0000047,43.337970111,265.692652353,246.880671689,272.000000000,0.000000000,0.000000000
point-0000048,44.280151350,265.923006253,248.433986099,272.000000000,0.000000000,0.000000000
point-0000049,45.222283108,265.999999995,250.002316913,272.000000000,0.000000000,0.000000000
point-0000050,46.164428871,265.922908147,251.570666278,272.000000000,0.000000000,0.000000000
point-0000051,47.106637529,265.692452394,253.124011780,272.000000000,0.000000000,0.000000000
point-0000052,48.048867408,265.310843688,254.647323296,272.000000000,0.000000000,0.000000000
point-0000053,48.990946623,264.781858359,256.125663277,272.000000000,0.000000000,0.000000000
point-0000054,49.933150372,264.110443084,257.545229382,272.000000000,0.000000000,0.000000000
point-0000055,50.875386052,263.303094437,258.892196980,272.000000000,0.000000000,0.000000000
point-0000056,51.817557676,262.367675216,260.153461873,272.000000000,0.000000000,0.000000000
point-0000057,52.759690916,261.313186293,261.316926719,272.000000000,0.000000000,0.000000000
point-0000058,53.701853108,260.149705898,262.371470340,272.000000000,0.000000000,0.000000000
point-0000059,54.644081018,258.888374674,263.306957600,272.000000000,0.000000000,0.000000000
point-0000060,55.586302920,257.541424558,264.114290748,272.000000000,0.000000000,0.000000000
point-0000061,56.528322567,256.122130784,264.785564166,272.000000000,0.000000000,0.000000000
point-0000062,57.470295475,254.643951219,265.314471902,272.000000000,0.000000000,0.000000000
point-0000063,58.412273813,253.121039831,265.695952628,272.000000000,0.000000000,0.000000000
point-0000064,59.354250742,251.568072106,265.926322999,272.000000000,0.000000000,0.000000000
point-0000065,60.296228765,250.000000000,266.003361037,272.000000000,0.000000000,0.000000000
point-0000066,60.896329613,250.000000000,265.003192958,272.000000000,0.000000000,0.000000000
point-0000067,61.779385035,251.469986331,264.930979037,272.000000000,0.000000000,0.000000000
point-0000068,62.662439433,252.925815114,264.715034159,272.000000000,0.000000000,0.000000000
point-0000069,63.545495150,254.353471513,264.357440367,272.000000000,0.000000000,0.000000000
point-0000070,64.428545786,255.739199590,263.861649203,272.000000000,0.000000000,0.000000000
point-0000071,65.311608271,257.069684887,263.232428902,272.000000000,0.000000000,0.000000000
point-0000072,66.194708549,258.332154070,262.475813883,272.000000000,0.000000000,0.000000000
point-0000073,67.077795240,259.514379679,261.599132257,272.000000000,0.000000000,0.000000000
point-0000074,67.960878882,260.605000402,260.610820794,272.000000000,0.000000000,0.000000000
point-0000075,68.843978497,261.593541894,259.520372633,272.000000000,0.000000000,0.000000000
point-0000076,69.727056695,262.470450487,258.338332990,272.000000000,0.000000000,0.000000000
point-0000077,70.610155289,263.227328788,257.076024906,272.000000000,0.000000000,0.000000000
point-0000078,71.493245367,263.856865320,255.745638332,272.000000000,0.000000000,0.000000000
