source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,250.300000000,250.800000000,252.500000000,0.000000000,0.000000000
point-0000002,6.840000000,261.700000000,250.800000000,252.500000000,0.000000000,0.000000000
point-0000003,11.959999649,253.225463565,251.800000000,252.500000000,0.000000000,0.000000000
point-0000004,13.715277788,250.300000000,251.800000000,252.500000000,0.000000000,0.000000000
point-0000005,18.799999649,258.774536435,251.800000000,252.500000000,0.000000000,0.000000000
point-0000006,20.555277788,261.700000000,251.800000000,252.500000000,0.000000000,0.000000000
point-0000007,25.690450618,253.200000000,252.800000000,252.500000000,0.000000000,0.000000000
point-0000008,27.430450618,250.300000000,252.800000000,252.500000000,0.000000000,0.000000000
point-0000009,32.530450618,258.800000000,252.800000000,252.500000000,0.000000000,0.000000000
point-0000010,34.270450618,261.700000000,252.800000000,252.500000000,0.000000000,0.000000000
point-0000011,39.405623449,253.200000000,253.800000000,252.500000000,0.000000000,0.000000000
point-0000012,41.145623449,250.300000000,253.800000000,252.500000000,0.000000000,0.000000000
point-0000013,46.245623449,258.800000000,253.800000000,252.500000000,0.000000000,0.000000000
point-0000014,47.985623449,261.700000000,253.800000000,252.500000000,0.000000000,0.000000000
point-0000015,53.120796280,253.200000000,254.800000000,252.500000000,0.000000000,0.000000000
point-0000016,54.860796280,250.300000000,254.800000000,252.500000000,0.000000000,0.000000000
point-0000017,59.960796280,258.800000000,254.800000000,252.500000000,0.000000000,0.000000000
point-0000018,61.700796280,261.700000000,254.800000000,252.500000000,0.000000000,0.000000000
point-0000019,66.835969110,253.200000000,255.800000000,252.500000000,0.000000000,0.000000000
point-0000020,68.575969110,250.300000000,255.800000000,252.500000000,0.000000000,0.000000000
point-0000021,73.675969110,258.800000000,255.800000000,252.500000000,0.000000000,0.000000000
point-0000022,75.415969110,261.700000000,255.800000000,252.500000000,0.000000000,0.000000000
point-0000023,80.551141941,253.200000000,256.800000000,252.500000000,0.000000000,0.000000000
point-0000024,82.291141941,250.300000000,256.800000000,252.500000000,0.000000000,0.000000000
point-0000025,87.391141941,258.800000000,256.800000000,252.500000000,0.000000000,0.000000000
point-0000026,89.131141941,261.700000000,256.800000000,252.500000000,0.000000000,0.000000000
point-0000027,94.266314771,253.200000000,257.800000000,252.500000000,0.000000000,0.000000000
point-0000028,96.006314771,250.300000000,257.800000000,252.500000000,0.000000000,0.000000000
point-0000029,101.106314771,258.800000000,257.800000000,252.500000000,0.000000000,0.000000000
point-0000030,102.846314771,261.700000000,257.800000000,252.500000000,0.000000000,0.000000000
point-0000031,107.505112900,254.000000000,258.800000000,252.500000000,0.000000000,0.000000000
point-0000032,109.725112900,250.300000000,258.800000000,252.500000000,0.000000000,0.000000000
point-0000033,114.345112900,258.000000000,258.800000000,252.500000000,0.000000000,0.000000000
point-0000034,116.565112900,261.700000000,258.800000000,252.500000000,0.000000000,0.000000000
point-0000035,124.864004392,250.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000036,130.504004392,250.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000037,131.104004392,251.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000038,136.744004392,251.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000039,137.344004392,252.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000040,142.984004392,252.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000041,148.104004041,253.800000000,251.225463565,253.000000000,0.000000000,0.000000000
point-0000042,148.659282180,253.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000043,153.744004041,253.800000000,258.774536435,253.000000000,0.000000000,0.000000000
point-0000044,154.299282180,253.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000045,159.434455010,254.800000000,251.200000000,253.000000000,0.000000000,0.000000000
point-0000046,159.974455010,254.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000047,165.074455010,254.800000000,258.800000000,253.000000000,0.000000000,0.000000000
point-0000048,165.614455010,254.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000049,170.749627841,255.800000000,251.200000000,253.000000000,0.000000000,0.000000000
point-0000050,171.289627841,255.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000051,176.389627841,255.800000000,258.800000000,253.000000000,0.000000000,0.000000000
point-0000052,176.929627841,255.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000053,182.064800671,256.800000000,251.200000000,253.000000000,0.000000000,0.000000000
point-0000054,182.604800671,256.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000055,187.704800671,256.800000000,258.800000000,253.000000000,0.000000000,0.000000000
point-0000056,188.244800671,256.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000057,193.379973502,257.800000000,251.200000000,253.000000000,0.000000000,0.000000000
point-0000058,193.919973502,257.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000059,199.019973502,257.800000000,258.800000000,253.000000000,0.000000000,0.000000000
point-0000060,199.559973502,257.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000061,200.159973502,258.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000062,205.799973502,258.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000063,206.399973502,259.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000064,212.039973502,259.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000065,212.639973502,260.800000000,259.700000000,253.000000000,0.000000000,0.000000000
point-0000066,218.279973502,260.800000000,250.300000000,253.000000000,0.000000000,0.000000000
point-0000067,224.589680310,250.300000000,250.600000000,253.500000000,0.000000000,0.000000000
point-0000068,231.429680310,261.700000000,250.600000000,253.500000000,0.000000000,0.000000000
point-0000069,231.789680310,261.700000000,251.200000000,253.500000000,0.000000000,0.000000000
point-0000070,238.629680310,250.300000000,251.200000000,253.500000000,0.000000000,0.000000000
point-0000071,238.989680310,250.300000000,251.800000000,253.500000000,0.000000000,0.000000000
point-0000072,240.744958449,253.225463565,251.800000000,253.500000000,0.000000000,0.000000000
point-0000073,245.829680310,261.700000000,251.800000000,253.500000000,0.000000000,0.000000000
point-0000074,247.584958449,258.774536435,251.800000000,253.500000000,0.000000000,0.000000000
point-0000075,252.682408439,250.300000000,252.400000000,253.500000000,0.000000000,0.000000000
point-0000076,254.422408439,253.200000000,252.400000000,253.500000000,0.000000000,0.000000000
point-0000077,259.522408439,261.700000000,252.400000000,253.500000000,0.000000000,0.000000000
point-0000078,261.262408439,258.800000000,252.400000000,253.500000000,0.000000000,0.000000000
point-0000079,266.375098533,250.300000000,253.000000000,253.500000000,0.000000000,0.000000000
point-0000080,268.115098533,253.200000000,253.000000000,253.500000000,0.000000000,0.000000000
point-0000081,273.215098533,261.700000000,253.000000000,253.500000000,0.000000000,0.000000000
point-0000082,274.955098533,258.800000000,253.000000000,253.500000000,0.000000000,0.000000000
point-0000083,280.067788628,250.300000000,253.600000000,253.500000000,0.000000000,0.000000000
point-0000084,281.807788628,253.200000000,253.600000000,253.500000000,0.000000000,0.000000000
point-0000085,286.907788628,261.700000000,253.600000000,253.500000000,0.000000000,0.000000000
point-0000086,288.647788628,258.800000000,253.600000000,253.500000000,0.000000000,0.000000000
point-0000087,293.760478722,250.300000000,254.200000000,253.500000000,0.000000000,0.000000000
point-0000088,295.500478722,253.200000000,254.200000000,253.500000000,0.000000000,0.000000000
point-0000089,300.600478722,261.700000000,254.200000000,253.500000000,0.000000000,0.000000000
point-0000090,302.340478722,258.800000000,254.200000000,253.500000000,0.000000000,0.000000000
point-0000091,307.453168816,250.300000000,254.800000000,253.500000000,0.000000000,0.000000000
point-0000092,309.193168816,253.200000000,254.800000000,253.500000000,0.000000000,0.000000000
point-0000093,314.293168816,261.700000000,254.800000000,253.500000000,0.000000000,0.000000000
point-0000094,316.033168816,258.800000000,254.800000000,253.500000000,0.000000000,0.000000000
point-0000095,321.145858910,250.300000000,255.400000000,253.500000000,0.000000000,0.000000000
point-0000096,322.885858910,253.200000000,255.400000000,253.500000000,0.000000000,0.000000000
point-0000097,327.985858910,261.700000000,255.400000000,253.500000000,0.000000000,0.000000000
point-0000098,329.725858910,258.800000000,255.400000000,253.500000000,0.000000000,0.000000000
point-0000099,334.838549005,250.300000000,256.000000000,253.500000000,0.000000000,0.000000000
point-0000100,336.578549005,253.200000000,256.000000000,253.500000000,0.000000000,0.000000000
point-0000101,341.678549005,261.700000000,256.000000000,253.500000000,0.000000000,0.000000000
point-0000102,343.418549005,258.800000000,256.000000000,253.500000000,0.000000000,0.000000000
point-0000103,348.531239099,250.300000000,256.600000000,253.500000000,0.000000000,0.000000000
point-0000104,350.271239099,253.200000000,256.600000000,253.500000000,0.000000000,0.000000000
point-0000105,355.371239099,261.700000000,256.600000000,253.500000000,0.000000000,0.000000000
point-0000106,357.111239099,258.800000000,256.600000000,253.500000000,0.000000000,0.000000000
point-0000107,362.223929193,250.300000000,257.200000000,253.500000000,0.000000000,0.000000000
point-0000108,363.963929193,253.200000000,257.200000000,253.500000000,0.000000000,0.000000000
point-0000109,369.063929193,261.700000000,257.200000000,253.500000000,0.000000000,0.000000000
point-0000110,370.803929193,258.800000000,257.200000000,253.500000000,0.000000000,0.000000000
point-0000111,375.916619287,250.300000000,257.800000000,253.500000000,0.000000000,0.000000000
point-0000112,377.656619287,253.200000000,257.800000000,253.500000000,0.000000000,0.000000000
point-0000113,382.756619287,261.700000000,257.800000000,253.500000000,0.000000000,0.000000000
point-0000114,384.496619287,258.800000000,257.800000000,253.500000000,0.000000000,0.000000000
point-0000115,389.609309382,250.300000000,258.400000000,253.500000000,0.000000000,0.000000000
point-0000116,391.413617188,253.307179677,258.400000000,253.500000000,0.000000000,0.000000000
point-0000117,396.449309382,261.700000000,258.400000000,253.500000000,0.000000000,0.000000000
point-0000118,398.253617188,258.692820323,258.400000000,253.500000000,0.000000000,0.000000000
point-0000119,403.302161124,250.300000000,259.000000000,253.500000000,0.000000000,0.000000000
point-0000120,410.142161124,261.700000000,259.000000000,253.500000000,0.000000000,0.000000000
point-0000121,410.502161124,261.700000000,259.600000000,253.500000000,0.000000000,0.000000000
point-0000122,417.342161124,250.300000000,259.600000000,253.500000000,0.000000000,0.000000000
point-0000123,422.933118108,250.600000000,250.300000000,254.000000000,0.000000000,0.000000000
point-0000124,428.573118108,250.600000000,259.700000000,254.000000000,0.000000000,0.000000000
point-0000125,428.933118108,251.200000000,259.700000000,254.000000000,0.000000000,0.000000000
point-0000126,434.573118108,251.200000000,250.300000000,254.000000000,0.000000000,0.000000000
point-0000127,434.933118108,251.800000000,250.300000000,254.000000000,0.000000000,0.000000000
point-0000128,440.573118108,251.800000000,259.700000000,254.000000000,0.000000000,0.000000000
point-0000129,440.933118108,252.400000000,259.700000000,254.000000000,0.000000000,0.000000000
point-0000130,446.573118108,252.400000000,250.300000000,254.000000000,0.000000000,0.000000000
point-0000131,446.933118108,253.000000000,250.300000000,254.000000000,0.000000000,0.000000000
point-0000132,452.573118108,253.000000000,259.700000000,254.000000000,0.000000000,0.000000000
point-0000133,457.621662044,253.600000000,251.307179677,254.000000000,0.000000000,0.000000000
point-0000134,458.225969850,253.600000000,250.300000000,254.000000000,0.000000000,0.000000000
point-0000135,463.261662044,253.600000000,258.692820323,254.000000000,0.000000000,0.000000000
point-0000136,463.865969850,253.600000000,259.700000000,254.000000000,0.000000000,0.000000000
point-0000137,468.978659944,254.200000000,251.200000000,254.000000000,0.000000000,0.000000000
point-0000138,469.518659944,254.200000000,250.300000000,254.000000000,0.000000000,0.000000000
point-0000139,474.618659944,254.200000000,258.800000000,254.000000000,0.000000000,0.000000000
point-0000140,475.158659944,254.200000000,259.700000000,254.000000000,0.000000000,0.000000000
point-0000141,480.271350038,254.800000000,251.200000000,254.000000000,0.000000000,0.000000000
point-0000142,480.811350038,254.800000000,250.300000000,254.000000000,0.000000000,0.000000000
