point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000001,0.000000000,12.000000000,39.300009891,17.315843634,-1.210279180,-1.256636921,,
point-0000002,0.199651832,12.057447568,37.092924149,15.292439452,-1.213547193,-1.087755167,PLA,T0
point-0000003,0.401950140,12.244068324,34.909298769,13.193632862,-1.222210359,-0.930789735,PLA,T0
point-0000004,0.604804953,12.574444959,32.729541642,11.096425890,-1.233560879,-0.783984784,PLA,T0
point-0000005,0.808357752,13.052944006,30.567881422,8.993842794,-1.247238667,-0.646003594,PLA,T0
point-0000006,1.013091454,13.671076053,28.435929229,6.871634612,-1.263223997,-0.515890311,PLA,T0
point-0000007,1.218266072,14.415643569,26.341434409,4.743149000,-1.280349452,-0.392099836,PLA,T0
point-0000008,1.424723499,15.285488272,24.287256300,2.595063084,-1.299998884,-0.276249783,PLA,T0
point-0000009,1.632011384,16.272848065,22.268918057,0.445809375,-1.321765376,-0.168407427,PLA,T0
point-0000010,1.838880201,17.368037870,20.288814335,-1.677527090,-1.344499341,-0.067988294,PLA,T0
point-0000011,2.044928823,18.594067381,18.331234709,-3.731143753,-1.369110576,0.021983097,PLA,T0
point-0000012,2.249218367,19.955069343,16.400471411,-5.683072471,-1.394581069,0.101834093,PLA,T0
point-0000013,2.450761859,21.455006066,14.510361266,-7.504369764,-1.419791779,0.172035967,PLA,T0
point-0000014,2.649421370,23.136659341,12.659076583,-9.124415304,-1.444975880,0.230028406,PLA,T0
point-0000015,2.845429250,25.009686699,10.872396918,-10.518631702,-1.469107183,0.276549999,PLA,T0
point-0000016,3.039562524,27.091986147,9.177655234,-11.646292290,-1.491393405,0.311524966,PLA,T0
point-0000017,3.235159227,29.442474985,7.588168298,-12.392482167,-1.512010510,0.331971549,PLA,T0
point-0000018,3.435656418,32.060328345,6.144719403,-12.721270672,-1.530042409,0.338740170,PLA,T0
point-0000019,3.646706608,34.957837308,4.882897330,-12.536235698,-1.544867554,0.330898983,PLA,T0
point-0000020,3.880445760,38.170565355,3.824693173,-11.613614163,-1.556655217,0.304372134,PLA,T0
point-0000021,4.143697929,41.620050238,3.004508487,-9.875444254,-1.564764001,0.260210467,PLA,T0
point-0000022,4.451039779,45.225707278,2.434697736,-7.059803853,-1.569282503,0.195226036,PLA,T0
point-0000023,4.812555098,48.787432778,2.106796441,-2.983949280,-1.570811018,0.108608442,PLA,T0
point-0000024,5.236324917,52.000000000,2.000000000,2.500000000,-1.570796327,0.000000000,PLA,T0
point-0000025,5.236325917,52.000000000,2.000000000,2.500000000,-1.570796327,-0.785398163,,
point-0000026,5.660095735,48.787432778,2.106796441,-2.983949280,-1.570811018,-0.676789722,PETG,T1
point-0000027,6.021611054,45.225707278,2.434697736,-7.059803853,-1.569282503,-0.590172127,PETG,T1
point-0000028,6.328952904,41.620050238,3.004508487,-9.875444254,-1.564764001,-0.525187697,PETG,T1
point-0000029,6.592205073,38.170565355,3.824693173,-11.613614163,-1.556655217,-0.481026029,PETG,T1
point-0000030,6.825944225,34.957837308,4.882897330,-12.536235698,-1.544867554,-0.454499180,PETG,T1
point-0000031,7.036994415,32.060328345,6.144719403,-12.721270672,-1.530042409,-0.446657993,PETG,T1
point-0000032,7.237491606,29.442474985,7.588168298,-12.392482167,-1.512010510,-0.453426614,PETG,T1
point-0000033,7.433088309,27.091986147,9.177655234,-11.646292290,-1.491393405,-0.473873197,PETG,T1
point-0000034,7.627221583,25.009686699,10.872396918,-10.518631702,-1.469107183,-0.508848165,PETG,T1
point-0000035,7.823229463,23.136659341,12.659076583,-9.124415304,-1.444975880,-0.555369757,PETG,T1
point-0000036,8.021888974,21.455006066,14.510361266,-7.504369764,-1.419791779,-0.613362197,PETG,T1
point-0000037,8.223432466,19.955069343,16.400471411,-5.683072471,-1.394581069,-0.683564070,PETG,T1
point-0000038,8.427722010,18.594067381,18.331234709,-3.731143753,-1.369110576,-0.763415066,PETG,T1
point-0000039,8.633770632,17.368037870,20.288814335,-1.677527090,-1.344499341,-0.853386457,PETG,T1
point-0000040,8.840639449,16.272848065,22.268918057,0.445809375,-1.321765376,-0.953805590,PETG,T1
point-0000041,9.047927743,15.285486435,24.287260319,2.595067334,-1.299998843,-1.061648166,PETG,T1
point-0000042,9.254384761,14.415643569,26.341434409,4.743149000,-1.280349452,-1.177498000,PETG,T1
point-0000043,9.459559058,13.671077124,28.435925912,6.871631279,-1.263224023,-1.301288276,PETG,T1
point-0000044,9.664293389,13.052943176,30.567884659,8.993845985,-1.247238645,-1.431401959,PETG,T1
point-0000045,9.867845880,12.574444959,32.729541642,11.096425890,-1.233560879,-1.569382947,PETG,T1
point-0000046,10.070700693,12.244068324,34.909298769,13.193632862,-1.222210359,-1.716187898,PETG,T1
point-0000047,10.272999001,12.057447568,37.092924149,15.292439452,-1.213547193,-1.873153330,PETG,T1
point-0000048,10.472650833,12.000000000,39.300009891,17.315843634,-1.210279180,-2.042035084,PETG,T1
