point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000001,0.000000000,73.763490238,3.667890957,59.756136472,-0.064633771,-0.836039513,,
point-0000002,0.074667732,74.867761035,3.601617067,59.581123440,-0.063691146,-0.798589853,PLA,T0
point-0000003,0.145169964,75.909106774,3.542209884,59.406632963,-0.062824028,-0.761324627,PLA,T0
point-0000004,0.211432827,76.886253815,3.489020141,59.232629850,-0.062029534,-0.724229208,PLA,T0
point-0000005,0.273398939,77.798152805,3.441284055,59.059089432,-0.061304553,-0.687292174,PLA,T0
point-0000006,0.331026498,78.643958764,3.398134251,58.885997359,-0.060645795,-0.650504938,PLA,T0
point-0000007,0.384267230,79.422681559,3.358636405,58.713340958,-0.060050408,-0.613860073,PLA,T0
point-0000008,0.433096410,80.133635889,3.321987925,58.541103278,-0.059516736,-0.577350939,PLA,T0
point-0000009,0.477488021,80.776045022,3.287938708,58.369232505,-0.059042744,-0.540963980,PLA,T0
point-0000010,0.517432076,81.349250479,3.256379777,58.197671362,-0.058626610,-0.504685039,PLA,T0
point-0000011,0.552937756,81.852689791,3.227229798,58.026364218,-0.058266360,-0.468500409,PLA,T0
point-0000012,0.584028991,82.285706864,3.200441548,57.855255491,-0.057960017,-0.432396327,PLA,T0
point-0000013,0.610786610,82.648017251,3.176025340,57.684292566,-0.057706174,-0.396359856,PLA,T0
point-0000014,0.633354442,82.939413765,3.153980168,57.513423712,-0.057503690,-0.360378871,PLA,T0
point-0000015,0.651975438,83.159525505,3.134338907,57.342596666,-0.057351556,-0.324440952,PLA,T0
point-0000016,0.667113342,83.308117956,3.117185264,57.171757061,-0.057249506,-0.288534004,PLA,T0
point-0000017,0.679637802,83.384747103,3.102605880,57.000849531,-0.057197310,-0.252645942,PLA,T0
point-0000018,0.691071990,83.389612162,3.090657979,56.829822553,-0.057194186,-0.216765090,PLA,T0
point-0000019,0.703340076,83.322757740,3.081436824,56.658622985,-0.057240057,-0.180879753,PLA,T0
point-0000020,0.718041455,83.184189626,3.075065769,56.487194681,-0.057335076,-0.144977981,PLA,T0
point-0000021,0.736130077,82.974136859,3.071693347,56.315479605,-0.057479813,-0.109047664,PLA,T0
point-0000022,0.758129382,82.692556622,3.071491586,56.143416706,-0.057675422,-0.073076812,PLA,T0
point-0000023,0.784300953,82.339913782,3.074598966,55.970942424,-0.057922606,-0.037052839,PLA,T0
point-0000024,0.814791060,81.916574396,3.081140349,55.797993102,-0.058222033,-0.000963111,PLA,T0
point-0000025,0.849673147,81.423054890,3.091443543,55.624489960,-0.058575368,0.035207519,PLA,T0
point-0000026,0.888983555,80.859882199,3.105815101,55.450351150,-0.058983645,0.071474835,PLA,T0
point-0000027,0.932753341,80.227292476,3.123837113,55.275539454,-0.059448876,0.107844894,PLA,T0
point-0000028,0.980962452,79.526104525,3.145076003,55.100008850,-0.059973077,0.144325369,PLA,T0
point-0000029,1.033576959,78.757206494,3.169125344,54.923708309,-0.060558111,0.180925092,PLA,T0
point-0000030,1.090555158,77.921508643,3.195613626,54.746582981,-0.061205719,0.217654078,PLA,T0
point-0000031,1.151860195,77.019762810,3.223835154,54.568602081,-0.061917595,0.254517977,PLA,T0
point-0000032,1.217460404,76.052601768,3.253252538,54.389726952,-0.062697755,0.291522977,PLA,T0
point-0000033,1.287279997,75.021334487,3.284163307,54.209846913,-0.063550656,0.328689449,PLA,T0
point-0000034,1.361259708,73.926988682,3.316889219,54.028847635,-0.064480881,0.366037941,PLA,T0
point-0000035,1.439329300,72.770737845,3.351745707,53.846603903,-0.065492795,0.403591307,PLA,T0
point-0000036,1.521402404,71.553984674,3.389052923,53.662977539,-0.066590748,0.441375383,PLA,T0
point-0000037,1.607416172,70.277771695,3.429392401,53.477812652,-0.067781241,0.479417973,PLA,T0
point-0000038,1.697259942,68.943851909,3.473136048,53.290936527,-0.069067272,0.517753533,PLA,T0
point-0000039,1.790854444,67.553490137,3.520608408,53.102190828,-0.070452750,0.556414536,PLA,T0
point-0000040,1.888095916,66.108314198,3.572044499,52.911405050,-0.071940681,0.595438830,PLA,T0
point-0000041,1.988858237,64.610281676,3.627571208,52.718401066,-0.073532922,0.634869751,PLA,T0
point-0000042,4.577339729,-64.610281676,-3.627571208,52.718401066,0.073532922,-0.412327800,,
point-0000043,4.678102050,-66.108314198,-3.572044499,52.911405050,0.071940681,-0.451758721,PETG,T1
point-0000044,4.775343522,-67.553490137,-3.520608408,53.102190828,0.070452750,-0.490783015,PETG,T1
point-0000045,4.868938024,-68.943851909,-3.473136048,53.290936527,0.069067272,-0.529444018,PETG,T1
point-0000046,4.958781794,-70.277771695,-3.429392401,53.477812652,0.067781241,-0.567779579,PETG,T1
point-0000047,5.044795562,-71.553984674,-3.389052923,53.662977539,0.066590748,-0.605822168,PETG,T1
point-0000048,5.126868666,-72.770737845,-3.351745707,53.846603903,0.065492795,-0.643606244,PETG,T1
point-0000049,5.204938258,-73.926988682,-3.316889219,54.028847635,0.064480881,-0.681159610,PETG,T1
point-0000050,5.278917969,-75.021334487,-3.284163307,54.209846913,0.063550656,-0.718508102,PETG,T1
point-0000051,5.348737562,-76.052601768,-3.253252538,54.389726952,0.062697755,-0.755674574,PETG,T1
point-0000052,5.414337771,-77.019762810,-3.223835154,54.568602081,0.061917595,-0.792679575,PETG,T1
point-0000053,5.475642808,-77.921508643,-3.195613626,54.746582981,0.061205719,-0.829543473,PETG,T1
point-0000054,5.532621007,-78.757206494,-3.169125344,54.923708309,0.060558111,-0.866272459,PETG,T1
point-0000055,5.585235514,-79.526104525,-3.145076003,55.100008850,0.059973077,-0.902872182,PETG,T1
point-0000056,5.633444625,-80.227292476,-3.123837113,55.275539454,0.059448876,-0.939352657,PETG,T1
