point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000001,0.000000000,0.000000000,-0.000000000,42.500000000,-0.233236943,-0.000000000,,
point-0000002,0.000001000,-0.000000000,-0.000000000,42.500000000,-0.265133871,-0.230379810,PLA,T0
point-0000003,0.000002000,0.000000000,0.000000000,42.500000000,-0.306440360,-0.408747954,PLA,T0
point-0000004,0.000003000,-0.000000000,-0.000000000,42.500000000,-0.348966179,-0.561546564,PLA,T0
point-0000005,0.000004000,0.000000000,-0.000000000,42.500000000,-0.392999669,-0.693502778,PLA,T0
point-0000006,0.000005000,-0.000000000,-0.000000000,42.500000000,-0.439149428,-0.806766928,PLA,T0
point-0000007,0.000006000,0.000000000,-0.000000000,42.500000000,-0.485313016,-0.909266699,PLA,T0
point-0000008,0.000007000,-0.000000000,0.000000000,42.500000000,-0.532608497,-1.000750746,PLA,T0
point-0000009,0.000008000,-0.000000000,0.000000000,42.500000000,-0.578245503,-1.087773237,PLA,T0
point-0000010,0.000009000,0.000000000,-0.000000000,42.500000000,-0.340396585,-0.046641457,,
point-0000011,0.000010000,0.000000000,-0.000000000,42.500000000,-0.332873252,-0.000000000,PETG,T1
point-0000012,0.000011000,0.000000000,-0.000000000,42.500000000,-0.390988331,-0.000000000,,
point-0000013,0.000012000,-0.000000000,-0.000000000,42.500000000,-0.408941054,-0.082751303,PA,T2
point-0000014,0.000013000,-0.000000000,-0.000000000,42.500000000,-0.460243159,-0.104236040,,
point-0000015,0.000014000,0.000000000,0.000000000,42.500000000,-0.434551867,-0.000000000,ABS,T3
point-0000016,0.000015000,0.000000000,0.000000000,42.500000000,-0.490400208,-0.210939246,,
point-0000017,0.000016000,0.000000000,0.000000000,42.500000000,-0.518812173,-0.312909076,PLA,T0
point-0000018,0.000017000,0.000000000,-0.000000000,42.500000000,-0.547785167,-0.409280637,PLA,T0
point-0000019,0.000018000,0.000000000,-0.000000000,42.500000000,-0.578245503,-0.499348250,PLA,T0
point-0000020,0.000019000,-0.000000000,-0.000000000,42.500000000,-0.578245503,-0.627703124,,
point-0000021,0.000020000,-0.000000000,-0.000000000,42.500000000,-0.542741641,-0.531998873,PETG,T1
point-0000022,0.000021000,0.000000000,-0.000000000,42.500000000,-0.506930783,-0.430804376,PETG,T1
point-0000023,0.000022000,0.000000000,0.000000000,42.500000000,-0.473896036,-0.319197402,PETG,T1
point-0000024,0.000023000,-0.000000000,-0.000000000,42.500000000,-0.441195575,-0.199846515,PETG,T1
point-0000025,0.000024000,0.000000000,0.000000000,42.500000000,-0.369859820,-0.188690028,,
point-0000026,0.000025000,0.000000000,-0.000000000,42.500000000,-0.408368878,-0.340988725,PA,T2
point-0000027,0.000026000,0.000000000,-0.000000000,42.500000000,-0.449040011,-0.476353313,PA,T2
point-0000028,0.000027000,-0.000000000,-0.000000000,42.500000000,-0.491471819,-0.597593596,PA,T2
point-0000029,0.000028000,-0.000000000,-0.000000000,42.500000000,-0.534798953,-0.708032996,PA,T2
point-0000030,0.000029000,-0.000000000,-0.000000000,42.500000000,-0.578245503,-0.810460879,PA,T2
