point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000001,0.000000000,12.000000000,39.300009891,17.315843634,-1.210279180,-1.256636921,,
point-0000002,0.199651832,12.057447568,37.092924149,15.292439452,-1.213547193,-1.087755167,PLA,T0
point-0000003,0.401950140,12.244068324,34.909298769,13.193632862,-1.222210359,-0.930789735,PLA,T0
point-0000004,0.604804953,12.574444959,32.729541642,11.096425890,-1.233560879,-0.783984784,PLA,T0
point-0000005,0.808357752,13.052944006,30.567881422,8.993842794,-1.247238667,-0.646003594,PLA,T0
point-0000006,1.013091454,13.671076053,28.435929229,6.871634612,-1.263223997,-0.515890311,PLA,T0
point-0000007,1.218266072,14.415643569,26.341434409,4.743149000,-1.280349452,-0.392099836,PLA,T0
point-0000008,1.424723499,15.285488272,24.287256300,2.595063084,-1.299998884,-0.276249783,PLA,T0
point-0000009,1.632011384,16.272848065,22.268918057,0.445809375,-1.321765376,-0.168407427,PLA,T0
point-0000010,1.838880201,17.368037870,20.288814335,-1.677527090,-1.344499341,-0.067988294,PLA,T0
point-0000011,2.044928823,18.594067381,18.331234709,-3.731143753,-1.369110576,0.021983097,PLA,T0
point-0000012,2.249218367,19.955069343,16.400471411,-5.683072471,-1.394581069,0.101834093,PLA,T0
point-0000013,2.450761859,21.455006066,14.510361266,-7.504369764,-1.419791779,0.172035967,PLA,T0
point-0000014,2.649421370,23.136659341,12.659076583,-9.124415304,-1.444975880,0.230028406,PLA,T0
point-0000015,2.845429250,25.009686699,10.872396918,-10.518631702,-1.469107183,0.276549999,PLA,T0
point-0000016,3.039562524,27.091986147,9.177655234,-11.646292290,-1.491393405,0.311524966,PLA,T0
point-0000017,3.235159227,29.442474985,7.588168298,-12.392482167,-1.512010510,0.331971549,PLA,T0
point-0000018,3.435656418,32.060328345,6.144719403,-12.721270672,-1.530042409,0.338740170,PLA,T0
point-0000019,3.646706608,34.957837308,4.882897330,-12.536235698,-1.544867554,0.330898983,PLA,T0
point-0000020,3.880445760,38.170565355,3.824693173,-11.613614163,-1.556655217,0.304372134,PLA,T0
point-0000021,4.143697929,41.620050238,3.004508487,-9.875444254,-1.564764001,0.260210467,PLA,T0
point-0000022,4.451039779,45.225707278,2.434697736,-7.059803853,-1.569282503,0.195226036,PLA,T0
point-0000023,4.812555098,48.787432778,2.106796441,-2.983949280,-1.570811018,0.108608442,PLA,T0
point-0000024,5.236324917,52.000000000,2.000000000,2.500000000,-1.570796327,0.000000000,PLA,T0
point-0000025,5.248324917,52.000000000,2.600000000,2.500000000,-1.570796327,0.000000000,,
point-0000026,5.666724651,48.836506289,2.704073471,-2.919372864,-1.570827178,0.107284684,PETG,T1
point-0000027,6.025708185,45.323943526,3.026987630,-6.987934561,-1.569349870,0.193634577,PETG,T1
point-0000028,6.332363500,41.754764280,3.590137514,-9.834380626,-1.564882109,0.259216081,PETG,T1
point-0000029,6.595415838,38.329021160,4.401277105,-11.616389725,-1.556796957,0.304429475,PETG,T1
point-0000030,6.829141074,35.128757056,5.451015457,-12.589808129,-1.544956966,0.332415069,PETG,T1
point-0000031,7.039932261,32.236255204,6.705947726,-12.826421875,-1.529986949,0.342024803,PETG,T1
point-0000032,7.239694116,29.622847373,8.143489230,-12.539797217,-1.511746622,0.337038811,PETG,T1
point-0000033,7.434330038,27.275637424,9.728697302,-11.831681535,-1.490807595,0.318570819,PETG,T1
point-0000034,7.627252930,25.198405872,11.419818139,-10.736442367,-1.468084217,0.285728250,PETG,T1
point-0000035,7.821946110,23.335461315,13.201851460,-9.364393688,-1.443425497,0.241309005,PETG,T1
point-0000036,8.019331547,21.666898327,15.047774399,-7.759808545,-1.417524236,0.185593673,PETG,T1
point-0000037,8.219697332,20.185453163,16.929468649,-5.943907189,-1.391395348,0.117725115,PETG,T1
point-0000038,8.423061811,18.849035976,18.846539512,-3.983249524,-1.364797889,0.040105264,PETG,T1
point-0000039,8.628558227,17.651705129,20.784009038,-1.906211865,-1.338692295,-0.047585438,PETG,T1
point-0000040,8.835309607,16.591251082,22.732821182,0.260686480,-1.314141202,-0.145991366,PETG,T1
point-0000041,9.043037363,15.642967555,24.706222058,2.477752540,-1.290223096,-0.252276340,PETG,T1
point-0000042,9.250623294,14.814682978,26.699227475,4.722202542,-1.267890788,-0.366965861,PETG,T1
point-0000043,9.457510207,14.113499180,28.710948408,6.978707361,-1.247750579,-0.490527050,PETG,T1
point-0000044,9.664706065,13.538417822,30.736458742,9.264722919,-1.228349847,-0.621489343,PETG,T1
point-0000045,9.871617318,13.101749304,32.763076316,11.574463549,-1.210727520,-0.761639977,PETG,T1
point-0000046,10.078446880,12.807320476,34.776608435,13.916290892,-1.195376829,-0.912668961,PETG,T1
point-0000047,10.285386732,12.647918644,36.761880563,16.297195904,-1.182755937,-1.076255437,PETG,T1
point-0000048,10.489294216,12.600707456,38.748933434,18.621954154,-1.176217964,-1.254606702,PETG,T1
point-0000049,11.614052993,52.000000000,2.000000000,2.500000000,-1.570796327,-0.785398163,,
point-0000050,12.037822811,48.787432778,2.106796441,-2.983949280,-1.570811018,-0.676789722,PETG,T1
point-0000051,12.399338130,45.225707278,2.434697736,-7.059803853,-1.569282503,-0.590172127,PETG,T1
point-0000052,12.706679980,41.620050238,3.004508487,-9.875444254,-1.564764001,-0.525187697,PETG,T1
point-0000053,12.969932149,38.170565355,3.824693173,-11.613614163,-1.556655217,-0.481026029,PETG,T1
point-0000054,13.203671301,34.957837308,4.882897330,-12.536235698,-1.544867554,-0.454499180,PETG,T1
point-0000055,13.414721491,32.060328345,6.144719403,-12.721270672,-1.530042409,-0.446657993,PETG,T1
point-0000056,13.615218682,29.442474985,7.588168298,-12.392482167,-1.512010510,-0.453426614,PETG,T1
point-0000057,13.810815385,27.091986147,9.177655234,-11.646292290,-1.491393405,-0.473873197,PETG,T1
point-0000058,14.004948659,25.009686699,10.872396918,-10.518631702,-1.469107183,-0.508848165,PETG,T1
point-0000059,14.200956539,23.136659341,12.659076583,-9.124415304,-1.444975880,-0.555369757,PETG,T1
point-0000060,14.399616050,21.455006066,14.510361266,-7.504369764,-1.419791779,-0.613362197,PETG,T1
point-0000061,14.601159543,19.955069343,16.400471411,-5.683072471,-1.394581069,-0.683564070,PETG,T1
point-0000062,14.805449086,18.594067381,18.331234709,-3.731143753,-1.369110576,-0.763415066,PETG,T1
point-0000063,15.011497708,17.368037870,20.288814335,-1.677527090,-1.344499341,-0.853386457,PETG,T1
point-0000064,15.218366525,16.272848065,22.268918057,0.445809375,-1.321765376,-0.953805590,PETG,T1
point-0000065,15.425654819,15.285486435,24.287260319,2.595067334,-1.299998843,-1.061648166,PETG,T1
point-0000066,15.632111838,14.415643569,26.341434409,4.743149000,-1.280349452,-1.177498000,PETG,T1
point-0000067,15.837286134,13.671077124,28.435925912,6.871631279,-1.263224023,-1.301288276,PETG,T1
point-0000068,16.042020465,13.052943176,30.567884659,8.993845985,-1.247238645,-1.431401959,PETG,T1
point-0000069,16.245572956,12.574444959,32.729541642,11.096425890,-1.233560879,-1.569382947,PETG,T1
point-0000070,16.448427769,12.244068324,34.909298769,13.193632862,-1.222210359,-1.716187898,PETG,T1
point-0000071,16.650726077,12.057447568,37.092924149,15.292439452,-1.213547193,-1.873153330,PETG,T1
point-0000072,16.850377909,12.000000000,39.300009891,17.315843634,-1.210279180,-2.042035084,PETG,T1
point-0000073,16.881170502,12.600707456,38.748933434,18.621954154,-1.176217964,-2.040004866,,
point-0000074,17.085077986,12.647918644,36.761880563,16.297195904,-1.182755937,-1.861653601,PA,T2
point-0000075,17.292017838,12.807320476,34.776608435,13.916290892,-1.195376829,-1.698067125,PA,T2
point-0000076,17.498847400,13.101749304,32.763076316,11.574463549,-1.210727520,-1.547038141,PA,T2
point-0000077,17.705758652,13.538417821,30.736458744,9.264722921,-1.228349847,-1.406887507,PA,T2
point-0000078,17.912954511,14.113499182,28.710948407,6.978707359,-1.247750579,-1.275925213,PA,T2
point-0000079,18.119841424,14.814682978,26.699227475,4.722202542,-1.267890788,-1.152364024,PA,T2
point-0000080,18.327427355,15.642967554,24.706222059,2.477752542,-1.290223096,-1.037674504,PA,T2
point-0000081,18.535155110,16.591251082,22.732821182,0.260686480,-1.314141202,-0.931389530,PA,T2
point-0000082,18.741906491,17.651705129,20.784009038,-1.906211865,-1.338692295,-0.832983601,PA,T2
point-0000083,18.947402906,18.849035976,18.846539512,-3.983249524,-1.364797889,-0.745292900,PA,T2
point-0000084,19.150767385,20.185453163,16.929468649,-5.943907189,-1.391395348,-0.667673048,PA,T2
point-0000085,19.351133170,21.666898327,15.047774399,-7.759808545,-1.417524236,-0.599804490,PA,T2
point-0000086,19.548518607,23.335461315,13.201851460,-9.364393688,-1.443425497,-0.544089158,PA,T2
point-0000087,19.743211788,25.198405872,11.419818139,-10.736442367,-1.468084217,-0.499669914,PA,T2
point-0000088,19.936134679,27.275637424,9.728697302,-11.831681535,-1.490807595,-0.466827344,PA,T2
point-0000089,20.130770601,29.622847373,8.143489230,-12.539797217,-1.511746622,-0.448359352,PA,T2
point-0000090,20.330532457,32.236255204,6.705947726,-12.826421875,-1.529986949,-0.443373360,PA,T2
point-0000091,20.541323644,35.128757056,5.451015457,-12.589808129,-1.544956966,-0.452983095,PA,T2
