source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,6.108652382,271.654309386,255.000000000,231.110934920,-1.570796327,-1.396263402
point-0000002,0.500000000,6.108652382,271.654309386,255.000000000,230.110934920,-1.570796327,-1.396263402
point-0000003,1.372664626,6.195918845,251.785273675,255.000000000,252.964800672,-1.570796327,-1.483529864
point-0000004,2.245329252,6.283185307,230.000000000,255.000000000,274.000000000,-1.570796327,-1.570796327
point-0000005,3.117993878,6.370451770,206.464287447,255.000000000,293.056442336,-1.570796327,-1.658062789
point-0000006,3.990658504,6.457718232,181.357256999,255.000000000,309.989096647,-1.570796327,-1.745329252
point-0000007,4.863323130,6.544984695,154.869988320,255.000000000,324.669095209,-1.570796327,-1.832595715
point-0000008,5.735987756,6.632251158,127.204065516,255.000000000,336.984714369,-1.570796327,-1.919862177
point-0000009,6.235987756,6.632251158,127.204065516,255.000000000,337.984714369,-1.570796327,-1.919862177
point-0000010,6.635987756,6.632251158,127.204065516,255.800000000,337.984714369,-1.570796327,-1.919862177
point-0000011,7.135987756,6.632251158,127.204065516,255.800000000,336.984714369,-1.570796327,-1.919862177
point-0000012,8.008652382,6.544984695,154.869988320,255.800000000,324.669095209,-1.570796327,-1.832595715
point-0000013,8.881317008,6.457718232,181.357256999,255.800000000,309.989096647,-1.570796327,-1.745329252
point-0000014,9.753981634,6.370451770,206.464287447,255.800000000,293.056442336,-1.570796327,-1.658062789
point-0000015,10.626646260,6.283185307,230.000000000,255.800000000,274.000000000,-1.570796327,-1.570796327
point-0000016,11.499310886,6.195918845,251.785273675,255.800000000,252.964800672,-1.570796327,-1.483529864
point-0000017,12.371975512,6.108652382,271.654309386,255.800000000,230.110934920,-1.570796327,-1.396263402
point-0000018,12.871975512,6.108652382,271.654309386,255.800000000,231.110934920,-1.570796327,-1.396263402
point-0000019,13.271975512,6.108652382,271.654309386,256.600000000,231.110934920,-1.570796327,-1.396263402
point-0000020,13.771975512,6.108652382,271.654309386,256.600000000,230.110934920,-1.570796327,-1.396263402
point-0000021,14.644640138,6.195918845,251.785273675,256.600000000,252.964800672,-1.570796327,-1.483529864
point-0000022,15.517304764,6.283185307,230.000000000,256.600000000,274.000000000,-1.570796327,-1.570796327
point-0000023,16.389969390,6.370451770,206.464287447,256.600000000,293.056442336,-1.570796327,-1.658062789
point-0000024,17.262634016,6.457718232,181.357256999,256.600000000,309.989096647,-1.570796327,-1.745329252
point-0000025,18.135298642,6.544984695,154.869988320,256.600000000,324.669095209,-1.570796327,-1.832595715
point-0000026,19.007963268,6.632251158,127.204065516,256.600000000,336.984714369,-1.570796327,-1.919862177
point-0000027,19.507963268,6.632251158,127.204065516,256.600000000,337.984714369,-1.570796327,-1.919862177
point-0000028,20.380627894,6.719517620,98.570042966,256.520000000,347.842224830,-1.570796327,-2.007128640
point-0000029,21.253292520,6.806784083,69.185842870,256.440000000,355.166604984,-1.570796327,-2.094395102
point-0000030,22.125957146,6.894050545,39.275096735,256.360000000,359.902111876,-1.570796327,-2.181661565
point-0000031,22.998621772,6.981317008,9.065443399,256.280000000,362.012705439,-1.570796327,-2.268928028
point-0000032,23.871286398,7.068583471,-21.213203436,256.200000000,361.482322781,-1.570796327,-2.356194490
point-0000033,24.743951024,7.155849933,-51.330404983,256.120000000,358.315000436,-1.570796327,-2.443460953
point-0000034,25.616615650,7.243116396,-81.056951154,256.040000000,352.534843638,-1.570796327,-2.530727415
point-0000035,26.489280276,7.330382858,-110.166604984,255.960000000,344.185842870,-1.570796327,-2.617993878
point-0000036,27.361944902,7.417649321,-138.437824429,255.880000000,333.331539071,-1.570796327,-2.705260341
point-0000037,28.234609528,7.504915784,-165.655448439,255.800000000,320.054540045,-1.570796327,-2.792526803
point-0000038,29.107274154,7.592182246,-191.612334462,255.720000000,304.455891773,-1.570796327,-2.879793266
point-0000039,29.979938780,7.679448709,-216.110934920,255.640000000,286.654309386,-1.570796327,-2.967059728
point-0000040,30.852603406,7.766715171,-238.964800672,255.560000000,266.785273675,-1.570796327,-3.054326191
point-0000041,31.725268032,7.853981634,-260.000000000,255.480000000,245.000000000,-1.570796327,-3.141592654
point-0000042,32.597932658,7.941248097,-279.056442336,255.400000000,221.464287447,-1.570796327,-3.228859116
point-0000043,33.470597284,8.028514559,-295.989096647,255.320000000,196.357256999,-1.570796327,-3.316125579
point-0000044,34.343261910,8.115781022,-310.669095209,255.240000000,169.869988320,-1.570796327,-3.403392041
point-0000045,35.215926536,8.203047484,-322.984714369,255.160000000,142.204065516,-1.570796327,-3.490658504
point-0000046,36.088591162,8.290313947,-332.842224830,255.080000000,113.570042966,-1.570796327,-3.577924967
point-0000047,36.961255788,8.377580410,-340.166604984,255.000000000,84.185842870,-1.570796327,-3.665191429
point-0000048,37.461255788,8.377580410,-340.166604984,255.000000000,83.185842870,-1.570796327,-3.665191429
point-0000049,38.333920414,8.464846872,-344.902111876,255.000000000,53.275096735,-1.570796327,-3.752457892
point-0000050,39.206585040,8.552113335,-347.012705439,255.000000000,23.065443399,-1.570796327,-3.839724354
point-0000051,40.079249666,8.639379797,-346.482322781,255.000000000,-7.213203436,-1.570796327,-3.926990817
point-0000052,40.951914292,8.726646260,-343.315000436,255.000000000,-37.330404983,-1.570796327,-4.014257280
point-0000053,41.824578918,8.813912723,-337.534843638,255.000000000,-67.056951154,-1.570796327,-4.101523742
point-0000054,42.697243544,8.901179185,-329.185842870,255.000000000,-96.166604984,-1.570796327,-4.188790205
point-0000055,43.569908170,8.988445648,-318.331539071,255.000000000,-124.437824429,-1.570796327,-4.276056667
point-0000056,44.442572796,9.075712110,-305.054540045,255.000000000,-151.655448439,-1.570796327,-4.363323130
point-0000057,45.315237422,9.162978573,-289.455891773,255.000000000,-177.612334462,-1.570796327,-4.450589593
point-0000058,46.187902048,9.250245036,-271.654309386,255.000000000,-202.110934920,-1.570796327,-4.537856055
point-0000059,47.060566674,9.337511498,-251.785273675,255.000000000,-224.964800672,-1.570796327,-4.625122518
point-0000060,47.933231300,9.424777961,-230.000000000,255.000000000,-246.000000000,-1.570796327,-4.712388980
point-0000061,48.805895926,9.512044423,-206.464287447,255.000000000,-265.056442336,-1.570796327,-4.799655443
point-0000062,49.678560552,9.599310886,-181.357256999,255.000000000,-281.989096647,-1.570796327,-4.886921906
point-0000063,50.551225178,9.686577349,-154.869988320,255.000000000,-296.669095209,-1.570796327,-4.974188368
point-0000064,51.423889804,9.773843811,-127.204065516,255.000000000,-308.984714369,-1.570796327,-5.061454831
point-0000065,52.296554430,9.861110274,-98.570042966,255.000000000,-318.842224830,-1.570796327,-5.148721293
point-0000066,53.169219056,9.948376736,-69.185842870,255.000000000,-326.166604984,-1.570796327,-5.235987756
point-0000067,53.669219056,9.948376736,-69.185842870,255.000000000,-325.166604984,-1.570796327,-5.235987756
point-0000068,54.069219056,9.948376736,-69.185842870,255.800000000,-325.166604984,-1.570796327,-5.235987756
point-0000069,54.569219056,9.948376736,-69.185842870,255.800000000,-326.166604984,-1.570796327,-5.235987756
point-0000070,55.441883682,9.861110274,-98.570042966,255.800000000,-318.842224830,-1.570796327,-5.148721293
point-0000071,56.314548308,9.773843811,-127.204065516,255.800000000,-308.984714369,-1.570796327,-5.061454831
point-0000072,57.187212934,9.686577349,-154.869988320,255.800000000,-296.669095209,-1.570796327,-4.974188368
point-0000073,58.059877560,9.599310886,-181.357256999,255.800000000,-281.989096647,-1.570796327,-4.886921906
point-0000074,58.932542186,9.512044423,-206.464287447,255.800000000,-265.056442336,-1.570796327,-4.799655443
point-0000075,59.805206812,9.424777961,-230.000000000,255.800000000,-246.000000000,-1.570796327,-4.712388980
