source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,0.000000000,-230.000000000,14.849242405,377.473700810,0.785398163,1.570796327
point-0000002,0.250000000,0.000000000,-230.000000000,14.142135624,376.766594029,0.785398163,1.570796327
point-0000003,1.122664626,0.087266463,-206.464287447,27.499224095,390.241533630,0.785398163,1.483529864
point-0000004,1.995329252,0.174532925,-181.357256999,39.354567651,402.214728316,0.785398163,1.396263402
point-0000005,2.867993878,0.261799388,-154.869988320,49.617043052,412.595054848,0.785398163,1.308996939
point-0000006,3.740658504,0.349065850,-127.204065516,58.207649745,421.303512670,0.785398163,1.221730476
point-0000007,4.613323130,0.436332313,-98.570042966,65.060111107,428.273825163,0.785398163,1.134464014
point-0000008,5.485987756,0.523598776,-69.185842870,70.121378852,433.452944038,0.785398163,1.047197551
point-0000009,6.358652382,0.610865238,-39.275096735,73.352036757,436.801453073,0.785398163,0.959931089
point-0000010,7.231317008,0.698131701,-9.065443399,74.726600647,438.293868094,0.785398163,0.872664626
point-0000011,8.103981634,0.785398163,21.213203436,74.233712344,437.918830920,0.785398163,0.785398163
point-0000012,8.976646260,0.872664626,51.330404983,71.876226105,435.679195812,0.785398163,0.698131701
point-0000013,9.849310886,0.959931089,81.056951154,67.671186906,431.592007743,0.785398163,0.610865238
point-0000014,10.721975512,1.047197551,110.166604984,61.649700717,425.688372685,0.785398163,0.523598776
point-0000015,11.594640138,1.134464014,138.437824429,53.856697765,418.013220863,0.785398163,0.436332313
point-0000016,12.467304764,1.221730476,165.655448439,44.350590590,408.624964818,0.785398163,0.349065850
point-0000017,13.339969390,1.308996939,191.612334462,33.202829490,397.595054848,0.785398163,0.261799388
point-0000018,14.212634016,1.396263402,216.110934920,20.497358738,385.007435226,0.785398163,0.174532925
point-0000019,15.085298642,1.483529864,238.964800672,6.329977721,370.957905339,0.785398163,0.087266463
point-0000020,15.957963268,1.570796327,260.000000000,-9.192388155,355.553390593,0.785398163,0.000000000
point-0000021,16.830627894,1.658062789,279.056442336,-25.952501232,338.911128647,0.785398163,-0.087266463
point-0000022,17.703292520,1.745329252,295.989096647,-43.823703847,321.157777162,0.785398163,-0.174532925
point-0000023,18.575957146,1.832595715,310.669095209,-62.670882276,302.428449864,0.785398163,-0.261799388
point-0000024,19.448621772,1.919862177,322.984714369,-82.351495028,282.865688241,0.785398163,-0.349065850
point-0000025,20.321286398,2.007128640,332.842224830,-102.716657676,262.618376723,0.785398163,-0.436332313
point-0000026,21.193951024,2.094395102,340.166604984,-123.612275954,241.840609576,0.785398163,-0.523598776
point-0000027,22.066615650,2.181661565,344.902111876,-144.880218506,220.690518154,0.785398163,-0.610865238
point-0000028,22.939280276,2.268928028,347.012705439,-166.359520368,199.329067422,0.785398163,-0.698131701
point-0000029,23.811944902,2.356194490,346.482322781,-187.887608000,177.918830920,0.785398163,-0.785398163
point-0000030,24.684609528,2.443460953,343.315000436,-209.301536575,156.622753476,0.785398163,-0.872664626
point-0000031,25.557274154,2.530727415,337.534843638,-230.439230084,135.602911097,0.785398163,-0.959931089
point-0000032,26.429938780,2.617993878,329.185842870,-251.140714835,115.019277476,0.785398163,-1.047197551
point-0000033,27.302603406,2.705260341,318.331539071,-271.249336947,95.028506494,0.785398163,-1.134464014
point-0000034,28.175268032,2.792526803,305.054540045,-290.612954583,75.782739988,0.785398163,-1.221730476
point-0000035,29.047932658,2.879793266,289.455891773,-309.085095838,57.428449864,0.785398163,-1.308996939
point-0000036,29.920597284,2.967059728,271.654309386,-326.526073482,40.105323350,0.785398163,-1.396263402
point-0000037,30.793261910,3.054326191,251.785273675,-342.804048062,23.945199900,0.785398163,-1.483529864
point-0000038,31.665926536,3.141592654,230.000000000,-357.796031280,9.071067812,0.785398163,-1.570796327
point-0000039,32.538591162,3.228859116,206.464287447,-371.388822012,-4.403871789,0.785398163,-1.658062789
point-0000040,33.411255788,3.316125579,181.357256999,-383.479867828,-16.377066476,0.785398163,-1.745329252
point-0000041,34.283920414,3.403392041,154.869988320,-393.978045490,-26.757393007,0.785398163,-1.832595715
