source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,0.000000000,-230.000000000,-255.000000000,275.000000000,1.570796327,1.570796327
point-0000002,0.200000000,0.000000000,-230.000000000,-255.000000000,274.000000000,1.570796327,1.570796327
point-0000003,1.072664626,0.087266463,-206.464287447,-255.111111111,293.056442336,1.570796327,1.483529864
point-0000004,1.945329252,0.174532925,-181.357256999,-255.222222222,309.989096647,1.570796327,1.396263402
point-0000005,2.817993878,0.261799388,-154.869988320,-255.333333333,324.669095209,1.570796327,1.308996939
point-0000006,3.690658504,0.349065850,-127.204065516,-255.444444444,336.984714369,1.570796327,1.221730476
point-0000007,4.563323130,0.436332313,-98.570042966,-255.555555556,346.842224830,1.570796327,1.134464014
point-0000008,5.435987756,0.523598776,-69.185842870,-255.666666667,354.166604984,1.570796327,1.047197551
point-0000009,6.308652382,0.610865238,-39.275096735,-255.777777778,358.902111876,1.570796327,0.959931089
point-0000010,7.181317008,0.698131701,-9.065443399,-255.888888889,361.012705439,1.570796327,0.872664626
point-0000011,8.053981634,0.785398163,21.213203436,-256.000000000,360.482322781,1.570796327,0.785398163
point-0000012,8.926646260,0.872664626,51.330404983,-256.111111111,357.315000436,1.570796327,0.698131701
point-0000013,9.799310886,0.959931089,81.056951154,-256.222222222,351.534843638,1.570796327,0.610865238
point-0000014,10.671975512,1.047197551,110.166604984,-256.333333333,343.185842870,1.570796327,0.523598776
point-0000015,11.544640138,1.134464014,138.437824429,-256.444444444,332.331539071,1.570796327,0.436332313
point-0000016,12.417304764,1.221730476,165.655448439,-256.555555556,319.054540045,1.570796327,0.349065850
point-0000017,13.289969390,1.308996939,191.612334462,-256.666666667,303.455891773,1.570796327,0.261799388
point-0000018,14.162634016,1.396263402,216.110934920,-256.777777778,285.654309386,1.570796327,0.174532925
point-0000019,15.035298642,1.483529864,238.964800672,-256.888888889,265.785273675,1.570796327,0.087266463
point-0000020,15.907963268,1.570796327,260.000000000,-257.000000000,244.000000000,1.570796327,0.000000000
point-0000021,16.780627894,1.658062789,279.056442336,-257.111111111,220.464287447,1.570796327,-0.087266463
point-0000022,17.653292520,1.745329252,295.989096647,-257.222222222,195.357256999,1.570796327,-0.174532925
point-0000023,18.525957146,1.832595715,310.669095209,-257.333333333,168.869988320,1.570796327,-0.261799388
point-0000024,19.398621772,1.919862177,322.984714369,-257.444444444,141.204065516,1.570796327,-0.349065850
point-0000025,20.271286398,2.007128640,332.842224830,-257.555555556,112.570042966,1.570796327,-0.436332313
point-0000026,21.143951024,2.094395102,340.166604984,-257.666666667,83.185842870,1.570796327,-0.523598776
point-0000027,22.016615650,2.181661565,344.902111876,-257.777777778,53.275096735,1.570796327,-0.610865238
point-0000028,22.889280276,2.268928028,347.012705439,-257.888888889,23.065443399,1.570796327,-0.698131701
point-0000029,23.761944902,2.356194490,346.482322781,-258.000000000,-7.213203436,1.570796327,-0.785398163
point-0000030,24.634609528,2.443460953,343.315000436,-258.111111111,-37.330404983,1.570796327,-0.872664626
point-0000031,25.507274154,2.530727415,337.534843638,-258.222222222,-67.056951154,1.570796327,-0.959931089
point-0000032,26.379938780,2.617993878,329.185842870,-258.333333333,-96.166604984,1.570796327,-1.047197551
point-0000033,27.252603406,2.705260341,318.331539071,-258.444444444,-124.437824429,1.570796327,-1.134464014
point-0000034,28.125268032,2.792526803,305.054540045,-258.555555556,-151.655448439,1.570796327,-1.221730476
point-0000035,28.997932658,2.879793266,289.455891773,-258.666666667,-177.612334462,1.570796327,-1.308996939
point-0000036,29.870597284,2.967059728,271.654309386,-258.777777778,-202.110934920,1.570796327,-1.396263402
