source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,0.000000000,-230.000000000,-255.000000000,275.300000000,1.570796327,1.570796327
point-0000002,0.500000000,0.000000000,-230.000000000,-255.000000000,274.300000000,1.570796327,1.570796327
point-0000003,1.372664626,0.087266463,-206.464287447,-255.000000000,293.356442336,1.570796327,1.483529864
point-0000004,2.245329252,0.174532925,-181.357256999,-255.000000000,310.289096647,1.570796327,1.396263402
point-0000005,3.117993878,0.261799388,-154.869988320,-255.000000000,324.969095209,1.570796327,1.308996939
point-0000006,3.990658504,0.349065850,-127.204065516,-255.000000000,337.284714369,1.570796327,1.221730476
point-0000007,4.863323130,0.436332313,-98.570042966,-255.000000000,347.142224830,1.570796327,1.134464014
point-0000008,5.735987756,0.523598776,-69.185842870,-255.000000000,354.466604984,1.570796327,1.047197551
point-0000009,6.608652382,0.610865238,-39.275096735,-255.000000000,359.202111876,1.570796327,0.959931089
point-0000010,7.481317008,0.698131701,-9.065443399,-255.000000000,361.312705439,1.570796327,0.872664626
point-0000011,8.353981634,0.785398163,21.213203436,-255.000000000,360.782322781,1.570796327,0.785398163
point-0000012,9.226646260,0.872664626,51.330404983,-255.000000000,357.615000436,1.570796327,0.698131701
point-0000013,10.099310886,0.959931089,81.056951154,-255.000000000,351.834843638,1.570796327,0.610865238
point-0000014,10.971975512,1.047197551,110.166604984,-255.000000000,343.485842870,1.570796327,0.523598776
point-0000015,11.844640138,1.134464014,138.437824429,-255.000000000,332.631539071,1.570796327,0.436332313
point-0000016,12.717304764,1.221730476,165.655448439,-255.000000000,319.354540045,1.570796327,0.349065850
point-0000017,13.589969390,1.308996939,191.612334462,-255.000000000,303.755891773,1.570796327,0.261799388
point-0000018,14.462634016,1.396263402,216.110934920,-255.000000000,285.954309386,1.570796327,0.174532925
point-0000019,15.335298642,1.483529864,238.964800672,-255.000000000,266.085273675,1.570796327,0.087266463
point-0000020,16.207963268,1.570796327,260.000000000,-255.000000000,244.300000000,1.570796327,0.000000000
point-0000021,17.080627894,1.658062789,279.056442336,-255.000000000,220.764287447,1.570796327,-0.087266463
point-0000022,17.953292520,1.745329252,295.989096647,-255.000000000,195.657256999,1.570796327,-0.174532925
point-0000023,18.825957146,1.832595715,310.669095209,-255.000000000,169.169988320,1.570796327,-0.261799388
point-0000024,19.698621772,1.919862177,322.984714369,-255.000000000,141.504065516,1.570796327,-0.349065850
point-0000025,20.571286398,2.007128640,332.842224830,-255.000000000,112.870042966,1.570796327,-0.436332313
point-0000026,21.443951024,2.094395102,340.166604984,-255.000000000,83.485842870,1.570796327,-0.523598776
point-0000027,22.316615650,2.181661565,344.902111876,-255.000000000,53.575096735,1.570796327,-0.610865238
point-0000028,23.189280276,2.268928028,347.012705439,-255.000000000,23.365443399,1.570796327,-0.698131701
point-0000029,24.061944902,2.356194490,346.482322781,-255.000000000,-6.913203436,1.570796327,-0.785398163
point-0000030,24.934609528,2.443460953,343.315000436,-255.000000000,-37.030404983,1.570796327,-0.872664626
point-0000031,25.807274154,2.530727415,337.534843638,-255.000000000,-66.756951154,1.570796327,-0.959931089
point-0000032,26.679938780,2.617993878,329.185842870,-255.000000000,-95.866604984,1.570796327,-1.047197551
point-0000033,27.552603406,2.705260341,318.331539071,-255.000000000,-124.137824429,1.570796327,-1.134464014
point-0000034,28.425268032,2.792526803,305.054540045,-255.000000000,-151.355448439,1.570796327,-1.221730476
point-0000035,29.297932658,2.879793266,289.455891773,-255.000000000,-177.312334462,1.570796327,-1.308996939
point-0000036,30.170597284,2.967059728,271.654309386,-255.000000000,-201.810934920,1.570796327,-1.396263402
point-0000037,31.043261910,3.054326191,251.785273675,-255.000000000,-224.664800672,1.570796327,-1.483529864
point-0000038,31.915926536,3.141592654,230.000000000,-255.000000000,-245.700000000,1.570796327,-1.570796327
point-0000039,32.788591162,3.228859116,206.464287447,-255.000000000,-264.756442336,1.570796327,-1.658062789
point-0000040,33.661255788,3.316125579,181.357256999,-255.000000000,-281.689096647,1.570796327,-1.745329252
point-0000041,34.533920414,3.403392041,154.869988320,-255.000000000,-296.369095209,1.570796327,-1.832595715
point-0000042,35.406585040,3.490658504,127.204065516,-255.000000000,-308.684714369,1.570796327,-1.919862177
point-0000043,36.279249666,3.577924967,98.570042966,-255.000000000,-318.542224830,1.570796327,-2.007128640
point-0000044,37.151914292,3.665191429,69.185842870,-255.000000000,-325.866604984,1.570796327,-2.094395102
point-0000045,38.024578918,3.752457892,39.275096735,-255.000000000,-330.602111876,1.570796327,-2.181661565
point-0000046,38.897243544,3.839724354,9.065443399,-255.000000000,-332.712705439,1.570796327,-2.268928028
point-0000047,39.769908170,3.926990817,-21.213203436,-255.000000000,-332.182322781,1.570796327,-2.356194490
point-0000048,40.642572796,4.014257280,-51.330404983,-255.000000000,-329.015000436,1.570796327,-2.443460953
point-0000049,41.515237422,4.101523742,-81.056951154,-255.000000000,-323.234843638,1.570796327,-2.530727415
point-0000050,42.387902048,4.188790205,-110.166604984,-255.000000000,-314.885842870,1.570796327,-2.617993878
point-0000051,43.260566674,4.276056667,-138.437824429,-255.000000000,-304.031539071,1.570796327,-2.705260341
point-0000052,44.133231300,4.363323130,-165.655448439,-255.000000000,-290.754540045,1.570796327,-2.792526803
point-0000053,45.005895926,4.450589593,-191.612334462,-255.000000000,-275.155891773,1.570796327,-2.879793266
point-0000054,45.878560552,4.537856055,-216.110934920,-255.000000000,-257.354309386,1.570796327,-2.967059728
point-0000055,46.751225178,4.625122518,-238.964800672,-255.000000000,-237.485273675,1.570796327,-3.054326191
point-0000056,47.623889804,4.712388980,-260.000000000,-255.000000000,-215.700000000,1.570796327,-3.141592654
point-0000057,48.496554430,4.799655443,-279.056442336,-255.000000000,-192.164287447,1.570796327,-3.228859116
point-0000058,49.369219056,4.886921906,-295.989096647,-255.000000000,-167.057256999,1.570796327,-3.316125579
point-0000059,50.241883682,4.974188368,-310.669095209,-255.000000000,-140.569988320,1.570796327,-3.403392041
point-0000060,51.114548308,5.061454831,-322.984714369,-255.000000000,-112.904065516,1.570796327,-3.490658504
